Quarter,Time,Down,ToGo,Location,Detail,MIA,NYJ,EPB,EPA
2,1:57,3,2,MIA 46,Ryan Tannehill pass complete short middle to Kenny Stills for 4 yards (tackle by Avery Williamson),14,0,1.290,2.260
2,1:26,1,10,50,Ryan Tannehill pass complete short left to Kenny Stills for 13 yards,14,0,2.260,3.120
2,1:21,1,10,NYJ 37,Ryan Tannehill pass complete short left to Kenyan Drake for 4 yards (tackle by Avery Williamson),14,0,3.120,3.110
2,1:16,2,6,NYJ 33,Ryan Tannehill pass incomplete short left intended for Jakeem Grant,14,0,3.110,2.410
2,1:12,3,6,NYJ 33,Ryan Tannehill sacked by Leonard Williams and Avery Williamson for -5 yards. Penalty on Morris Claiborne: Defensive Holding 5 yards (no play),14,0,2.410,3.710
2,1:07,1,10,NYJ 28,Kenyan Drake middle for 9 yards (tackle by Doug Middleton and Morris Claiborne),14,0,3.710,4.420
2,0:46,,,,Timeout #1 by Miami Dolphins,14,0,,
2,0:46,2,1,NYJ 19,Ryan Tannehill pass complete deep middle to A.J. Derby for 19 yards touchdown,20,0,4.420,7.000
2,0:42,,,NYJ 15,Jason Sanders kicks extra point no good,20,0,0.000,-1.000
2,0:42,,,MIA 35,Jason Sanders kicks off 65 yards touchback,20,0,0.000,-0.610
2,0:41,1,10,NYJ 25,Sam Darnold pass complete deep middle to Terrelle Pryor for 44 yards (tackle by Reshad Jones),20,0,0.610,3.510
2,0:30,,,,Timeout #2 by New York Jets,20,0,,
2,0:30,1,10,MIA 31,Sam Darnold pass incomplete short right intended for Robby Anderson (defended by Bobby McCain),20,0,3.510,2.970
2,0:26,2,10,MIA 31,Sam Darnold pass complete short left to Christopher Herndon for 17 yards (tackle by Bobby McCain),20,0,2.970,4.650
2,0:16,,,,Timeout #3 by New York Jets,20,0,,
2,0:16,1,10,MIA 14,Sam Darnold pass incomplete short right intended for Quincy Enunwa,20,0,4.650,4.000
2,0:10,2,10,MIA 14,Sam Darnold pass complete short middle to Christopher Herndon for 13 yards. Christopher Herndon fumbles recovered by Christopher Herndon at MIA-2,20,0,4.000,3.780
3,15:00,,,MIA 35,Jason Sanders kicks off 65 yards touchback,20,0,0.000,-0.610
3,15:00,1,10,NYJ 25,Isaiah Crowell middle for 10 yards (tackle by T.J. McDonald),20,0,0.610,1.270
3,14:28,1,10,NYJ 35,Isaiah Crowell middle for -5 yards (tackle by Akeem Spence),20,0,1.270,0.050
3,13:51,2,15,NYJ 30,Sam Darnold pass complete short right to Eric Tomlinson for 24 yards (tackle by Kiko Alonso),20,0,0.050,2.520
3,13:06,1,10,MIA 46,Sam Darnold pass complete deep left to Quincy Enunwa for 17 yards (tackle by Bobby McCain),20,0,2.520,3.640
3,12:42,1,10,MIA 29,Isaiah Crowell middle for 1 yard (tackle by Davon Godchaux),20,0,3.640,3.240
3,12:01,2,9,MIA 28,Sam Darnold pass incomplete short right intended for Christopher Herndon,20,0,3.240,2.540
3,11:58,3,9,MIA 28,Sam Darnold pass complete short right to Bilal Powell for 28 yards touchdown. Penalty on Kiko Alonso: Illegal Contact (Declined),20,6,2.540,7.000
3,11:51,,,MIA 15,Jason Myers kicks extra point no good,20,6,0.000,-1.000
3,11:51,,,NYJ 35,Jason Myers kicks off 70 yards returned by Jakeem Grant for 34 yards,20,6,0.000,-0.870
3,11:44,1,10,MIA 29,Ryan Tannehill sacked by Jordan Jenkins for -12 yards. Ryan Tannehill fumbles (forced by Jordan Jenkins) recovered by Jordan Jenkins at MIA-12 (tackle by Ryan Tannehill),20,6,0.870,-4.780
3,11:38,1,10,MIA 12,Sam Darnold pass incomplete short middle intended for Terrelle Pryor is intercepted by Xavien Howard at MIA-0,20,6,4.780,-0.280
3,11:33,1,10,MIA 20,Kenyan Drake middle for 4 yards (tackle by Darron Lee and Steve McLendon),20,6,0.280,0.270
3,10:56,2,6,MIA 24,Ryan Tannehill pass complete short left to Kenyan Drake for 2 yards (tackle by Leonard Williams),20,6,0.270,-0.160
3,10:12,3,4,MIA 26,Ryan Tannehill pass complete short right to Kenyan Drake for 10 yards (tackle by Avery Williamson),20,6,-0.160,1.330
3,9:39,1,10,MIA 36,Kenyan Drake right tackle for 4 yards (tackle by Leonard Williams),20,6,1.330,1.330
3,9:00,2,6,MIA 40,Frank Gore middle for 5 yards (tackle by Frankie Luvu),20,6,1.330,1.290
3,8:38,3,1,MIA 45,Ryan Tannehill pass incomplete short right intended for Albert Wilson,20,6,1.290,-0.390
3,8:33,4,1,MIA 45,Matt Haack punts 48 yards fair catch by Andre Roberts,20,6,-0.390,0.380
3,8:26,1,10,NYJ 7,Bilal Powell left tackle for 2 yards (tackle by Andre Branch),20,6,-0.380,-0.630
3,7:44,2,8,NYJ 9,Sam Darnold pass complete short right to Quincy Enunwa for 21 yards (tackle by Raekwon McMillan),20,6,-0.630,0.940
3,7:04,1,10,NYJ 30,Bilal Powell middle for no gain (tackle by Raekwon McMillan),20,6,0.940,0.390
3,6:23,2,10,NYJ 30,Sam Darnold pass incomplete deep left intended for Christopher Herndon,20,6,0.390,-0.300
3,6:15,3,10,NYJ 30,Sam Darnold pass complete short left to Bilal Powell for 7 yards (tackle by Kiko Alonso),20,6,-0.300,-0.910
3,5:29,4,3,NYJ 37,Lac Edwards punts 56 yards returned by Jakeem Grant for 10 yards (tackle by Thomas Hennessy),20,6,-0.910,0.060
3,5:17,1,10,MIA 17,Ryan Tannehill pass complete short right to Danny Amendola for 5 yards (tackle by Doug Middleton),20,6,-0.060,0.210
3,4:39,2,5,MIA 22,Kenyan Drake right tackle for 11 yards (tackle by Doug Middleton),20,6,0.210,1.140
3,3:56,1,10,MIA 33,Frank Gore middle for 8 yards (tackle by Jamal Adams),20,6,1.140,1.670
3,3:18,2,2,MIA 41,Frank Gore middle for -1 yards (tackle by Leonard Williams),20,6,1.670,0.830
3,2:37,3,3,MIA 40,Ryan Tannehill sacked by Brandon Copeland for -9 yards. Penalty on Buster Skrine: Defensive Holding 5 yards (no play),20,6,0.830,1.930
3,2:10,1,10,MIA 45,Ryan Tannehill pass complete short right to Jakeem Grant for 16 yards (tackle by Trumaine Johnson),20,6,1.930,2.980
3,1:32,1,10,NYJ 39,Ryan Tannehill for no gain. Daniel Kilgore fumbles recovered by Avery Williamson at NYJ-41 (tackle by Laremy Tunsil),20,6,2.980,-1.660
3,1:20,1,10,NYJ 41,Sam Darnold pass complete short right to Robby Anderson for 3 yards (tackle by Reshad Jones),20,6,1.660,1.530
3,0:49,2,7,NYJ 44,Isaiah Crowell middle for 1 yard (tackle by Davon Godchaux),20,6,1.530,0.960
3,0:11,3,6,NYJ 45,Sam Darnold pass incomplete deep right intended for Robby Anderson. Penalty on Xavien Howard: Defensive Holding 5 yards (no play),20,6,0.960,2.260
3,0:06,1,10,50,Sam Darnold pass incomplete short left intended for Jermaine Kearse (defended by Jordan Phillips),20,6,2.260,1.710
4,15:00,2,10,50,Isaiah Crowell right tackle for 12 yards (tackle by Jerome Baker),20,6,1.710,3.050
4,14:24,1,10,MIA 38,Isaiah Crowell left tackle for -2 yards (tackle by Davon Godchaux),20,6,3.050,2.240
4,13:43,2,12,MIA 40,Sam Darnold pass complete short left to Isaiah Crowell for -3 yards (tackle by Andre Branch),20,6,2.240,1.160
4,12:58,3,15,MIA 43,Sam Darnold pass complete deep left to Terrelle Pryor for 18 yards (tackle by Kiko Alonso),20,6,1.160,3.910
4,12:19,1,10,MIA 25,Penalty on Brian Winters: False Start 5 yards (no play),20,6,3.910,3.580
4,12:05,1,15,MIA 30,Penalty on James Carpenter: False Start 5 yards (no play),20,6,3.580,3.250
4,11:50,1,20,MIA 35,Sam Darnold middle for 1 yard (tackle by Vincent Taylor and Akeem Spence),20,6,3.250,2.150
4,11:07,2,19,MIA 34,Sam Darnold sacked by William Hayes for -3 yards,20,6,2.150,1.090
4,10:19,3,22,MIA 37,Sam Darnold pass incomplete deep right intended for Terrelle Pryor,20,6,1.090,0.790
4,10:11,4,22,MIA 37,Jason Myers 55 yard field goal good,20,9,0.790,3.000
4,10:06,,,NYJ 35,Jason Myers kicks off 65 yards touchback,20,9,0.000,-0.610
4,10:06,1,10,MIA 25,Frank Gore left tackle for no gain (tackle by Steve McLendon),20,9,0.610,0.060
4,9:26,2,10,MIA 25,Ryan Tannehill pass incomplete short right intended for Jakeem Grant,20,9,0.060,-0.620
