Quarter,Time,Down,ToGo,Location,Detail,CLE,OAK,EPB,EPA
2,4:20,2,10,CLE 22,Nick Chubb right tackle for 1 yard (tackle by Clinton McDonald),17,14,-0.130,-0.690
2,3:34,3,9,CLE 23,Baker Mayfield pass complete short left to Jarvis Landry for 9 yards (tackle by Marcus Gilchrist),17,14,-0.690,1.070
,,,,,OAK challenged the first down ruling and the play was upheld.,,,,
2,2:46,1,10,CLE 32,Baker Mayfield pass incomplete short left intended for Jarvis Landry,17,14,1.070,0.530
2,2:39,2,10,CLE 32,Baker Mayfield pass incomplete short right intended for Jarvis Landry (defended by Rashaan Melvin),17,14,0.530,-0.160
2,2:33,3,10,CLE 32,Duke Johnson left tackle for 8 yards (tackle by Maurice Hurst),17,14,-0.160,-0.720
2,2:00,4,2,CLE 40,Britton Colquitt punts 42 yards fair catch by Dwayne Harris,17,14,-0.720,-0.040
2,1:53,1,10,RAI 18,Derek Carr pass complete short right to Jalen Richard for 16 yards (tackle by Genard Avery),17,14,0.040,1.200
2,1:26,1,10,RAI 34,Derek Carr pass complete short middle to Jared Cook for 16 yards (tackle by Damarious Randall),17,14,1.200,2.260
2,1:00,1,10,50,Derek Carr pass incomplete short right intended for Jared Cook,17,14,2.260,1.710
2,0:56,2,10,50,Derek Carr pass complete short left to Jordy Nelson for 10 yards (tackle by E.J. Gaines),17,14,1.710,2.920
2,0:51,1,10,CLE 40,Derek Carr pass complete short right to Jordy Nelson for 5 yards (tackle by T.J. Carrie),17,14,2.920,3.050
2,0:29,2,5,CLE 35,Derek Carr pass incomplete deep middle intended for Jared Cook is intercepted by E.J. Gaines at CLE-15,17,14,3.050,0.220
2,0:23,1,10,CLE 15,Baker Mayfield kneels for -1 yards,17,14,-0.220,-0.820
3,15:00,,,RAI 35,Matthew McCrane kicks off 57 yards returned by Jabrill Peppers for 17 yards (tackle by Jalen Richard),17,14,0.000,-0.610
3,14:56,1,10,CLE 25,Carlos Hyde middle for 2 yards (tackle by Emmanuel Lamur and Maurice Hurst),17,14,0.610,0.330
3,14:22,2,8,CLE 27,Baker Mayfield pass complete short left to Duke Johnson for 8 yards (tackle by Johnathan Hankins),17,14,0.330,1.270
3,13:48,1,10,CLE 35,Duke Johnson right tackle for 3 yards (tackle by Rashaan Melvin),17,14,1.270,1.130
3,13:08,2,7,CLE 38,Baker Mayfield pass complete short right to Rashard Higgins for 6 yards (tackle by Rashaan Melvin),17,14,1.130,1.220
3,12:38,3,1,CLE 44,Baker Mayfield pass complete short left to David Njoku for 14 yards (tackle by Rashaan Melvin),17,14,1.220,2.790
3,12:03,1,10,RAI 42,Carlos Hyde middle for 2 yards (tackle by Emmanuel Lamur and Tahir Whitehead),17,14,2.790,2.510
3,11:22,2,8,RAI 40,Baker Mayfield pass complete deep right to Rashard Higgins for 23 yards (tackle by Rashaan Melvin),17,14,2.510,4.440
3,10:46,1,10,RAI 17,Baker Mayfield right end for 4 yards (tackle by Marquel Lee),17,14,4.440,4.500
3,10:11,2,6,RAI 13,Baker Mayfield pass incomplete short right intended for Antonio Callaway,17,14,4.500,3.680
3,10:06,3,6,RAI 13,Baker Mayfield pass complete short middle to Duke Johnson for 3 yards (tackle by Derrick Johnson and Tahir Whitehead),17,14,3.680,2.860
3,9:26,4,3,RAI 10,Greg Joseph 28 yard field goal good,20,14,2.860,3.000
3,9:22,,,CLE 35,Greg Joseph kicks off 65 yards touchback,20,14,0.000,-0.610
3,9:22,1,10,RAI 25,Marshawn Lynch left tackle for -2 yards (tackle by Larry Ogunjobi and Jamie Collins),20,14,0.610,-0.210
3,8:47,2,12,RAI 23,Derek Carr pass complete short middle to Martavis Bryant for 26 yards (tackle by E.J. Gaines),20,14,-0.210,2.190
3,8:32,1,10,RAI 49,Derek Carr pass incomplete deep left intended for Martavis Bryant is intercepted by Damarious Randall at CLE-19 and returned for 50 yards,20,14,2.190,-3.510
3,8:17,1,10,RAI 31,Baker Mayfield pass incomplete deep right intended for Jarvis Landry. Penalty on Rashaan Melvin: Defensive Pass Interference 24 yards (no play),20,14,3.510,5.600
3,8:12,1,7,RAI 7,Carlos Hyde left end for 5 yards (tackle by Erik Harris),20,14,5.600,5.720
3,7:31,2,2,RAI 2,Baker Mayfield pass complete short left to Jarvis Landry for 2 yards touchdown,26,14,5.720,7.000
3,7:26,,,RAI 2,Two Point Attempt: Duke Johnson middle conversion fails,28,14,0.000,1.000
,,,,,CLE challenged the short of the goal line ruling and the play was overturned. Two Point Attempt: Duke Johnson middle conversion succeeds,,,,
3,7:26,,,CLE 35,Greg Joseph kicks off 65 yards touchback,28,14,0.000,-0.610
3,7:26,1,10,RAI 25,Derek Carr pass incomplete short left intended for Lee Smith (defended by Jamie Collins),28,14,0.610,0.060
3,7:23,2,10,RAI 25,Marshawn Lynch left tackle for 14 yards (tackle by Myles Garrett),28,14,0.060,1.530
3,6:47,1,10,RAI 39,Derek Carr pass incomplete short middle intended for Jared Cook,28,14,1.530,0.990
3,6:43,2,10,RAI 39,Doug Martin middle for 1 yard (tackle by Myles Garrett and T.J. Carrie),28,14,0.990,0.430
3,6:02,3,9,RAI 40,Derek Carr pass incomplete short middle intended for Seth Roberts,28,14,0.430,-0.720
3,5:58,4,9,RAI 40,Johnny Townsend punts 49 yards fair catch by Jabrill Peppers,28,14,-0.720,0.370
3,5:50,1,10,CLE 11,Baker Mayfield sacked by Maurice Hurst for -6 yards. Baker Mayfield fumbles (forced by Maurice Hurst) recovered by Johnathan Hankins at CLE-7 (tackle by J.C. Tretter),28,14,-0.370,-5.600
3,5:45,1,7,CLE 7,Derek Carr pass incomplete short right intended for Marshawn Lynch,28,14,5.600,4.760
3,5:41,2,7,CLE 7,Derek Carr pass incomplete short right intended for Jalen Richard (defended by Emmanuel Ogbah),28,14,4.760,3.810
3,5:38,3,7,CLE 7,Derek Carr pass complete short middle to Jared Cook for 7 yards touchdown,28,20,3.810,7.000
3,5:34,,,CLE 15,Matthew McCrane kicks extra point good,28,21,0.000,0.000
3,5:34,,,RAI 35,Matthew McCrane kicks off 62 yards returned by Jabrill Peppers for 16 yards (tackle by Derek Carrier),28,21,0.000,-0.150
3,5:28,1,10,CLE 19,Baker Mayfield pass incomplete short right intended for Antonio Callaway,28,21,0.150,-0.390
3,5:25,2,10,CLE 19,Carlos Hyde middle for 8 yards (tackle by Marquel Lee and Maurice Hurst). Penalty on David Njoku: Illegal Shift 5 yards (no play),28,21,-0.390,-1.110
3,5:06,2,15,CLE 14,Carlos Hyde middle for 4 yards (tackle by Marquel Lee),28,21,-1.110,-1.250
3,4:24,3,11,CLE 18,Baker Mayfield pass incomplete deep right intended for Antonio Callaway,28,21,-1.250,-2.240
3,4:16,4,11,CLE 18,Britton Colquitt punts 40 yards fair catch by Dwayne Harris,28,21,-2.240,-1.730
3,4:09,1,10,RAI 42,Derek Carr pass incomplete short left intended for Martavis Bryant,28,21,1.730,1.190
3,4:06,2,10,RAI 42,Marshawn Lynch middle for 5 yards (tackle by Emmanuel Ogbah and Joe Schobert),28,21,1.190,1.160
3,3:46,3,5,RAI 47,Derek Carr pass complete short right to Seth Roberts for 3 yards (tackle by Briean Boddy-Calhoun),28,21,1.160,-0.060
3,3:05,4,2,50,Johnny Townsend punts 50 yards touchback,28,21,-0.060,-0.280
3,2:55,1,10,CLE 20,Carlos Hyde right tackle for no gain (tackle by Fadol Brown and Tahir Whitehead),28,21,0.280,-0.270
3,2:23,2,10,CLE 20,Carlos Hyde left tackle for 1 yard (tackle by Tahir Whitehead and Frostee Rucker),28,21,-0.270,-0.820
3,1:40,3,9,CLE 21,Baker Mayfield pass incomplete short left intended for Duke Johnson,28,21,-0.820,-1.960
3,1:36,4,9,CLE 21,Britton Colquitt punts 59 yards returned by Dwayne Harris for 11 yards (tackle by Derrick Kindred),28,21,-1.960,-1.000
3,1:21,1,10,RAI 31,Derek Carr pass incomplete deep right intended for Amari Cooper,28,21,1.000,0.460
3,1:15,2,10,RAI 31,Marshawn Lynch left end for 52 yards (tackle by Genard Avery and E.J. Gaines),28,21,0.460,4.440
3,0:24,1,10,CLE 17,Penalty on Myles Garrett: Defensive Offside 5 yards (no play),28,21,4.440,5.520
3,0:04,1,5,CLE 12,Doug Martin right tackle for 2 yards (tackle by Joe Schobert),28,21,5.520,5.100
4,15:00,2,3,CLE 10,Derek Carr pass incomplete short left intended for Amari Cooper,28,21,5.100,4.340
4,14:56,3,3,CLE 10,Dwayne Harris left end for -1 yards (tackle by Damarious Randall),28,21,4.340,2.770
4,14:17,4,4,CLE 11,Matthew McCrane 29 yard field goal good,28,24,2.770,3.000
4,14:14,,,RAI 35,Matthew McCrane kicks off 66 yards returned by Jabrill Peppers for 13 yards (tackle by Keith Smith),28,24,0.000,0.350
4,14:08,1,10,CLE 12,Baker Mayfield pass complete short middle to David Njoku for 8 yards (tackle by Tahir Whitehead),28,24,-0.350,0.290
4,13:30,2,2,CLE 20,Baker Mayfield for no gain. Baker Mayfield fumbles recovered by Johnathan Hankins at CLE-20 (tackle by J.C. Tretter). Penalty on Rashard Higgins: Illegal Shift (Declined),28,24,0.290,-4.240
4,13:26,1,10,CLE 20,Marshawn Lynch middle for 1 yard (tackle by Christian Kirksey),28,24,4.240,3.820
4,12:51,2,9,CLE 19,Derek Carr pass complete deep middle to Jordy Nelson for 19 yards touchdown,28,30,3.820,7.000
4,12:46,,,CLE 15,Matthew McCrane kicks extra point good. Penalty on Larry Ogunjobi: Illegal Formation 5 yards,28,31,0.000,0.000
4,12:46,,,RAI 40,Matthew McCrane kicks off 60 yards touchback,28,31,0.000,-0.610
4,12:46,1,10,CLE 25,Baker Mayfield pass incomplete short right intended for Jarvis Landry (defended by Frostee Rucker),28,31,0.610,0.060
4,12:41,2,10,CLE 25,Baker Mayfield pass incomplete short right intended for David Njoku,28,31,0.060,-0.620
4,12:38,3,10,CLE 25,Baker Mayfield pass incomplete short left intended for Jarvis Landry,28,31,-0.620,-1.700
4,12:28,4,10,CLE 25,Britton Colquitt punts 53 yards returned by Dwayne Harris for 49 yards (tackle by Nick Chubb),28,31,-1.700,-3.640
4,12:12,1,10,CLE 29,Marshawn Lynch middle for no gain (tackle by Myles Garrett and Joe Schobert),28,31,3.640,3.100
4,11:33,2,10,CLE 29,Marshawn Lynch middle for 3 yards (tackle by Myles Garrett),28,31,3.100,2.810
4,10:54,3,7,CLE 26,Derek Carr pass incomplete short right intended for Jalen Richard,28,31,2.810,1.740
4,10:50,4,7,CLE 26,Matthew McCrane 44 yard field goal good,28,34,1.740,3.000
4,10:46,,,RAI 35,Matthew McCrane kicks off 66 yards returned by Antonio Callaway for 24 yards (tackle by Kyle Wilber),28,34,0.000,-0.480
4,10:42,1,10,CLE 23,Carlos Hyde middle for 5 yards (tackle by Johnathan Hankins and Marquel Lee),28,34,0.480,0.610
4,10:08,2,5,CLE 28,Baker Mayfield pass incomplete short middle intended for David Njoku (defended by Marquel Lee),28,34,0.610,-0.100
4,10:04,3,5,CLE 28,Baker Mayfield pass complete short right to Rashard Higgins for 11 yards (tackle by Tahir Whitehead),28,34,-0.100,1.530
4,9:28,1,10,CLE 39,Baker Mayfield pass complete short middle to Antonio Callaway for 1 yard (tackle by Marquel Lee),28,34,1.530,1.120
4,9:06,2,9,CLE 40,Baker Mayfield pass complete deep middle to Antonio Callaway for 59 yards (tackle by Gareon Conley),28,34,1.120,6.970
4,8:48,1,1,RAI 1,Carlos Hyde right guard for no gain (tackle by Marquel Lee and Emmanuel Lamur),28,34,6.970,5.910
4,8:11,2,1,RAI 1,Carlos Hyde right guard for 1 yard touchdown,34,34,5.910,7.000
4,8:07,,,RAI 15,Greg Joseph kicks extra point good,35,34,0.000,0.000
4,8:07,,,CLE 35,Greg Joseph kicks off 65 yards touchback,35,34,0.000,-0.610
4,8:07,1,10,RAI 25,Marshawn Lynch left end for 16 yards (tackle by Emmanuel Ogbah),35,34,0.610,1.660
4,7:21,1,10,RAI 41,Doug Martin left tackle for 1 yard (tackle by Myles Garrett),35,34,1.660,1.260
4,6:42,2,9,RAI 42,Derek Carr pass incomplete short right intended for Jared Cook,35,34,1.260,0.560
4,6:35,3,9,RAI 42,Derek Carr sacked by Myles Garrett and Genard Avery for -3 yards,35,34,0.560,-0.780
4,5:54,4,12,RAI 39,Johnny Townsend punts 39 yards fair catch by Jabrill Peppers. Penalty on Dwayne Harris: Fair Catch Interference 15 yards,35,34,-0.780,-1.400
4,5:46,1,10,CLE 37,Carlos Hyde left end for 16 yards (tackle by Tahir Whitehead),35,34,1.400,2.460
4,5:08,1,10,RAI 47,Carlos Hyde left guard for 6 yards (tackle by Marcus Gilchrist),35,34,2.460,2.720
4,4:30,2,4,RAI 41,Nick Chubb middle for 41 yards touchdown,41,34,2.720,7.000
4,4:20,,,RAI 15,Penalty on CLE: Delay of Game 5 yards (no play),41,34,0.000,0.000
4,4:20,,,RAI 20,Greg Joseph kicks extra point good,42,34,0.000,0.000
4,4:20,,,CLE 35,Greg Joseph kicks off 65 yards touchback,42,34,0.000,-0.610
4,4:20,1,10,RAI 25,Derek Carr pass incomplete short middle intended for Martavis Bryant (defended by Emmanuel Ogbah),42,34,0.610,0.060
4,4:16,2,10,RAI 25,Derek Carr pass complete deep right to Martavis Bryant for 28 yards (tackle by Denzel Ward and Joe Schobert),42,34,0.060,2.460
4,3:48,1,10,CLE 47,Derek Carr pass complete short left to Amari Cooper for 5 yards (tackle by T.J. Carrie and Briean Boddy-Calhoun),42,34,2.460,2.590
4,3:16,2,5,CLE 42,Derek Carr pass complete deep right to Amari Cooper for 31 yards (tackle by Derrick Kindred),42,34,2.590,4.840
