Quarter,Time,Down,ToGo,Location,Detail,NYJ,BUF,EPB,EPA
2,1:21,,,,Timeout #1 by Buffalo Bills,13,17,,
2,1:21,3,10,BUF 25,Josh Allen pass complete deep left to Robert Foster for 17 yards (tackle by Morris Claiborne). Penalty on Buster Skrine: Roughing the Passer 15 yards,13,17,-0.620,2.720
2,1:12,1,10,NYJ 43,Josh Allen pass incomplete short left intended for Deonte Thompson,13,17,2.720,2.180
2,1:08,2,10,NYJ 43,Josh Allen middle for 13 yards,13,17,2.180,3.580
2,0:47,1,10,NYJ 30,Josh Allen pass incomplete short left intended for Zay Jones,13,17,3.580,3.030
2,0:42,2,10,NYJ 30,Josh Allen sacked by Henry Anderson and Neville Hewitt for -6 yards,13,17,3.030,1.550
2,0:36,,,,Timeout #2 by Buffalo Bills,13,17,,
2,0:36,3,16,NYJ 36,Josh Allen pass complete short left to Zay Jones for 5 yards (tackle by Morris Claiborne),13,17,1.550,1.320
2,0:04,,,,Timeout #3 by Buffalo Bills,13,17,,
2,0:04,4,11,NYJ 31,Stephen Hauschka 49 yard field goal no good blocked by Henry Anderson recovered by Rontez Miles and returned for 2 yards. Josh Allen fumbles (forced by Lawrence Thomas) recovered by Terrence Brooks at NYJ-17. Terrence Brooks fumbles (forced by Lawrence Thomas) recovered by Terrence Brooks at NYJ-17,13,17,1.320,0.060
3,15:00,,,BUF 35,Stephen Hauschka kicks off 56 yards returned by Andre Roberts for 4 yards (tackle by Siran Neal). Andre Roberts fumbles recovered by Marcus Murphy at NYJ-13,13,17,0.000,4.710
3,14:51,1,10,NYJ 13,Chris Ivory middle for no gain (tackle by Steve McLendon),13,17,4.710,4.050
3,14:07,,,,Timeout #1 by Buffalo Bills,13,17,,
3,14:07,2,10,NYJ 13,Josh Allen pass complete short left to Robert Foster for 2 yards (tackle by Frankie Luvu),13,17,4.050,3.450
3,13:33,3,8,NYJ 11,Josh Allen pass incomplete short right intended for Zay Jones,13,17,3.450,2.700
3,13:26,4,8,NYJ 11,Stephen Hauschka 29 yard field goal good,13,20,2.700,3.000
3,13:22,,,BUF 35,Stephen Hauschka kicks off 40 yards returned by Christopher Herndon for 10 yards (tackle by Marcus Murphy),13,20,0.000,-1.270
3,13:16,1,10,NYJ 35,Sam Darnold pass complete short left to Elijah McGuire for 11 yards (tackle by Levi Wallace),13,20,1.270,1.990
3,12:35,1,10,NYJ 46,Elijah McGuire right tackle for no gain (tackle by Kyle Williams and Levi Wallace),13,20,1.990,1.450
3,12:00,2,10,NYJ 46,Sam Darnold pass complete short right to Jermaine Kearse for 10 yards (tackle by TreDavious White and Rafael Bush),13,20,1.450,2.650
3,11:14,1,10,BUF 44,Elijah McGuire middle for 6 yards (tackle by Tremaine Edmunds and Kyle Williams),13,20,2.650,2.920
3,10:32,2,4,BUF 38,Sam Darnold pass complete short middle to Elijah McGuire for 3 yards (tackle by Matt Milano and Tremaine Edmunds),13,20,2.920,2.610
