Quarter,Time,Down,ToGo,Location,Detail,GNB,NYJ,EPB,EPA
2,1:07,4,10,NYJ 31,Lac Edwards punts 39 yards muffed catch by Tramon Williams recovered by J'Mon Moore and returned for no gain. Penalty on Trenton Cannon: Unnecessary Roughness 15 yards,14,21,-1.310,-1.530
2,0:54,1,10,GNB 39,Jamaal Williams left end for 15 yards (tackle by Avery Williamson and Darryl Roberts),14,21,1.530,2.520
2,0:45,,,,Timeout #1 by Green Bay Packers,14,21,,
2,0:45,1,10,NYJ 46,Aaron Rodgers sacked by Frankie Luvu for 0 yards,14,21,2.520,1.980
2,0:40,,,,Timeout #2 by Green Bay Packers,14,21,,
2,0:40,2,10,NYJ 46,Aaron Rodgers pass complete short left to Jamaal Williams for 6 yards (tackle by Jamal Adams),14,21,1.980,2.080
2,0:36,3,4,NYJ 40,Aaron Rodgers pass incomplete short left intended for Davante Adams. Penalty on Morris Claiborne: Illegal Use of Hands 5 yards (no play),14,21,2.080,3.250
2,0:33,1,10,NYJ 35,Aaron Rodgers pass complete short right to Jimmy Graham for 3 yards,14,21,3.250,3.110
2,0:28,2,7,NYJ 32,Aaron Rodgers pass complete short right to Marquez Valdes-Scantling for 6 yards,14,21,3.110,3.200
2,0:24,3,1,NYJ 26,Aaron Rodgers pass complete short middle to Dan Vitale for 2 yards (tackle by Avery Williamson),14,21,3.200,3.970
2,0:17,,,,Timeout #3 by Green Bay Packers,14,21,,
2,0:17,1,10,NYJ 24,Aaron Rodgers pass incomplete short right intended for Jamaal Williams,14,21,3.970,3.430
2,0:12,2,10,NYJ 24,Aaron Rodgers pass incomplete deep middle intended for Davante Adams,14,21,3.430,2.740
2,0:06,3,10,NYJ 24,Mason Crosby 42 yard field goal good,17,21,2.740,3.000
2,0:02,,,GNB 35,Mason Crosby kicks off 64 yards returned by Trenton Cannon for 20 yards,17,21,0.000,2.260
3,15:00,,,NYJ 35,Jason Myers kicks off 65 yards touchback,17,21,0.000,-0.610
3,15:00,1,10,GNB 25,Aaron Rodgers pass complete short right to Lance Kendricks for 20 yards (tackle by Trumaine Johnson),17,21,0.610,1.930
3,14:25,1,10,GNB 45,Aaron Rodgers pass complete short right to Davante Adams for 6 yards (tackle by Trumaine Johnson),17,21,1.930,2.190
3,13:42,2,4,NYJ 49,Jamaal Williams left end for 1 yard (tackle by Neville Hewitt),17,21,2.190,1.620
3,12:58,3,3,NYJ 48,Penalty on David Bakhtiari: False Start 5 yards (no play),17,21,1.620,0.960
3,12:42,3,8,GNB 47,Aaron Rodgers pass complete short left to Davante Adams for 8 yards (tackle by Jamal Adams),17,21,0.960,2.590
3,12:03,1,10,NYJ 45,Aaron Rodgers pass complete short right to Davante Adams for 11 yards,17,21,2.590,3.310
3,11:27,1,10,NYJ 34,Aaron Rodgers pass complete short left to Davante Adams for -3 yards (tackle by Buster Skrine),17,21,3.310,2.370
3,10:41,2,13,NYJ 37,Aaron Rodgers pass complete short right to Equanimeous St. Brown for 18 yards (tackle by Jamal Adams),17,21,2.370,4.310
3,10:00,1,10,NYJ 19,Aaron Rodgers pass complete short right to Lance Kendricks for 6 yards (tackle by Avery Williamson),17,21,4.310,4.720
3,9:14,2,4,NYJ 13,Jamaal Williams left tackle for 2 yards (tackle by Brandon Copeland and Henry Anderson),17,21,4.720,4.430
3,8:29,3,2,NYJ 11,Aaron Rodgers pass incomplete,17,21,4.430,2.820
3,8:20,4,2,NYJ 11,Mason Crosby 29 yard field goal good,20,21,2.820,3.000
3,8:17,,,GNB 35,Mason Crosby kicks off 65 yards touchback,20,21,0.000,-0.610
3,8:17,1,10,NYJ 25,Sam Darnold pass complete short middle to Elijah McGuire for 14 yards (tackle by Blake Martinez),20,21,0.610,1.530
3,7:33,1,10,NYJ 39,Sam Darnold pass complete short left to Robby Anderson for 14 yards (tackle by Tony Brown),20,21,1.530,2.460
3,6:53,1,10,GNB 47,Sam Darnold pass complete short middle to Jermaine Kearse for 29 yards (tackle by Josh Jones and Tramon Williams),20,21,2.460,4.370
3,6:05,1,10,GNB 18,Sam Darnold left end for 1 yard (tackle by Antonio Morrison),20,21,4.370,3.940
3,5:32,2,9,GNB 17,Trenton Cannon right end for 2 yards (tackle by Josh Jones and Tyler Lancaster),20,21,3.940,3.460
3,4:49,3,7,GNB 15,Sam Darnold pass complete short right to Robby Anderson for 10 yards (tackle by Josh Jones),20,21,3.460,6.060
3,4:25,1,5,GNB 5,Sam Darnold pass complete short right to Christopher Herndon for 5 yards touchdown,20,27,6.060,7.000
3,4:21,,,GNB 15,Jason Myers kicks extra point good,20,28,0.000,0.000
3,4:21,,,NYJ 35,Jason Myers kicks off 67 yards returned by J'Mon Moore for 18 yards (tackle by Anthony Wint). J'Mon Moore fumbles recovered by Rashard Robinson at GNB-18,20,28,0.000,4.370
3,4:14,1,10,GNB 18,Sam Darnold pass complete short left to Eric Tomlinson for 5 yards (tackle by Tyler Lancaster and Josh Jones). Penalty on Jonotthan Harrison: Offensive Holding 10 yards (no play),20,28,4.370,3.710
3,3:45,1,20,GNB 28,Elijah McGuire right end for 8 yards (tackle by Josh Jones and Blake Martinez),20,28,3.710,3.560
3,2:58,2,12,GNB 20,Sam Darnold pass complete short left to Elijah McGuire for 20 yards touchdown,20,34,3.560,7.000
3,2:50,,,GNB 15,Jason Myers kicks extra point good,20,35,0.000,0.000
3,2:50,,,NYJ 35,Jason Myers kicks off 65 yards touchback,20,35,0.000,-0.610
3,2:50,1,10,GNB 25,Aaron Rodgers pass complete short middle to Marquez Valdes-Scantling for 15 yards (tackle by Buster Skrine),20,35,0.610,1.600
3,2:14,1,10,GNB 40,Aaron Rodgers pass complete short left to Jimmy Graham for 15 yards (tackle by Neville Hewitt),20,35,1.600,2.590
3,1:39,1,10,NYJ 45,Jamaal Williams left tackle for 3 yards (tackle by Henry Anderson and Steve McLendon). Penalty on Bryan Bulaga: Offensive Holding 10 yards (no play),20,35,2.590,1.930
3,1:17,1,20,GNB 45,Aaron Rodgers pass complete short middle to Jamaal Williams for 10 yards (tackle by Trumaine Johnson and Buster Skrine),20,35,1.930,2.040
3,0:38,2,10,NYJ 45,Aaron Rodgers pass incomplete. Penalty on Aaron Rodgers: Intentional Grounding 11 yards,20,35,2.040,-0.100
3,0:33,3,21,GNB 44,Aaron Rodgers pass incomplete short middle intended for Jimmy Graham (defended by Avery Williamson),20,35,-0.100,-0.460
