Quarter,Time,Down,ToGo,Location,Detail,CIN,CLE,EPB,EPA
4,3:53,1,10,CLE 23,Jeff Driskel pass complete short left to C.J. Uzomah for 14 yards (tackle by Briean Boddy-Calhoun),10,26,4.040,5.140
4,3:28,1,9,CLE 9,Joe Mixon middle for 6 yards (tackle by Joe Schobert),10,26,5.140,5.530
4,3:00,2,3,CLE 3,Jeff Driskel pass complete short left to John Ross for 3 yards touchdown,16,26,5.530,7.000
4,2:56,,,CLE 15,Two Point Attempt: Jeff Driskel pass complete to Cody Core conversion succeeds,18,26,0.000,1.000
4,2:56,,,CIN 35,Randy Bullock kicks off 55 yards returned by Antonio Callaway for 6 yards,18,26,0.000,0.140
4,2:52,1,10,CLE 16,Nick Chubb left guard for 4 yards (tackle by Jordan Willis). Penalty on Christian Ringo: Defensive Holding 5 yards,18,26,-0.140,0.610
4,2:48,1,10,CLE 25,Nick Chubb left tackle for 6 yards (tackle by Michael Johnson),18,26,0.610,0.870
4,2:01,2,4,CLE 31,Baker Mayfield pass complete short right to David Njoku for 66 yards (tackle by Hardy Nickerson),18,26,0.870,6.510
4,1:47,1,3,CIN 3,Baker Mayfield kneels for -1 yards,18,26,6.510,5.340
4,1:06,2,4,CIN 4,Baker Mayfield kneels for -1 yards,18,26,5.340,4.260
4,0:34,3,5,CIN 5,Baker Mayfield kneels for -1 yards,18,26,4.260,2.990
