Quarter,Time,Down,ToGo,Location,Detail,PIT,CLE,EPB,EPA
3,0:09,3,4,PIT 32,Ben Roethlisberger pass complete short right to Antonio Brown for 19 yards (tackle by Terrance Mitchell),21,7,0.230,2.320
4,15:00,1,10,CLE 49,Ben Roethlisberger pass incomplete short left intended for JuJu Smith-Schuster,21,7,2.320,1.780
4,14:56,2,10,CLE 49,James Conner right tackle for 9 yards (tackle by Joe Schobert and Damarious Randall),21,7,1.780,2.280
4,14:09,3,1,CLE 40,Ben Roethlisberger right guard for 2 yards (tackle by Larry Ogunjobi and Joe Schobert),21,7,2.280,3.050
4,13:38,1,10,CLE 38,Ben Roethlisberger pass incomplete short left intended for JuJu Smith-Schuster,21,7,3.050,2.510
4,13:35,2,10,CLE 38,James Conner right tackle for no gain (tackle by Joe Schobert and Denzel Ward),21,7,2.510,1.820
4,12:53,3,10,CLE 38,James Conner left tackle for 4 yards (tackle by Chris Smith),21,7,1.820,1.070
4,12:15,4,6,CLE 34,Jordan Berry punts 22 yards fair catch by Jabrill Peppers,21,7,1.070,0.350
4,12:11,1,10,CLE 12,Tyrod Taylor pass incomplete deep right intended for Josh Gordon. Penalty on Artie Burns: Defensive Pass Interference 18 yards (no play),21,7,-0.350,0.940
4,12:06,1,10,CLE 30,Tyrod Taylor pass complete short middle to Jarvis Landry for 6 yards (tackle by Bud Dupree),21,7,0.940,1.200
4,11:47,2,4,CLE 36,Tyrod Taylor sacked by Cameron Heyward for -11 yards. Penalty on Kevin Zeitler: Offensive Holding (Declined),21,7,1.200,-0.960
4,11:30,3,15,CLE 25,Tyrod Taylor pass complete short right to David Njoku for 4 yards (tackle by Mike Hilton),21,7,-0.960,-1.440
4,10:58,4,11,CLE 29,Britton Colquitt punts 57 yards out of bounds,21,7,-1.440,0.280
4,10:50,1,10,PIT 14,James Conner left guard for 2 yards (tackle by Jamie Collins). Penalty on Marcus Gilbert: Offensive Holding 8 yards,21,7,-0.280,-0.610
4,10:18,1,16,PIT 8,James Conner left guard for 1 yard (tackle by Jabrill Peppers),21,7,-0.610,-1.150
4,9:41,2,15,PIT 9,James Conner left guard for 2 yards (tackle by Trevon Coley and Larry Ogunjobi),21,7,-1.150,-1.770
4,8:56,3,13,PIT 11,Ben Roethlisberger pass incomplete short left intended for Antonio Brown,21,7,-1.770,-2.490
4,8:52,4,13,PIT 11,Jordan Berry punts 36 yards,21,7,-2.490,-2.460
,,,,,PIT challenged the kick downed ruling and the play was upheld.,,,,
