Quarter,Time,Down,ToGo,Location,Detail,SEA,DEN,EPB,EPA
3,8:22,2,3,SEA 33,Chris Carson right guard for 7 yards (tackle by Von Miller). Chris Carson fumbles (forced by Von Miller) recovered by Von Miller at SEA-40 (tackle by Tyler Lockett),10,17,1.070,-2.920
3,8:15,1,10,SEA 40,Case Keenum pass incomplete deep right intended for Emmanuel Sanders is intercepted by Bradley McDougald at SEA-20 and returned for 39 yards,10,17,2.920,-2.850
3,7:58,1,10,DEN 41,Rashaad Penny left end for 3 yards (tackle by Shane Ray),10,17,2.850,2.710
3,7:31,2,7,DEN 38,Russell Wilson pass complete short right to Rashaad Penny for 15 yards (tackle by Brandon Marshall),10,17,2.710,4.040
3,6:56,1,10,DEN 23,Russell Wilson pass incomplete deep right intended for Will Dissly,10,17,4.040,3.500
3,6:52,2,10,DEN 23,Chris Carson middle for 3 yards (tackle by Brandon Marshall),10,17,3.500,3.200
3,6:09,3,7,DEN 20,Russell Wilson pass complete deep right to Brandon Marshall for 20 yards touchdown,16,17,3.200,7.000
3,6:02,,,DEN 15,Sebastian Janikowski kicks extra point good,17,17,0.000,0.000
3,6:02,,,SEA 35,Sebastian Janikowski kicks off 65 yards touchback,17,17,0.000,-0.610
3,6:02,1,10,DEN 25,Royce Freeman left guard for 1 yard (tackle by Austin Calitro),17,17,0.610,0.200
3,5:26,2,9,DEN 26,Phillip Lindsay left guard for 1 yard (tackle by Jarran Reed),17,17,0.200,-0.360
3,4:45,3,8,DEN 27,Case Keenum pass incomplete short left intended for Emmanuel Sanders. Penalty on Tre Flowers: Defensive Holding 5 yards (no play),17,17,-0.360,1.070
3,4:40,1,10,DEN 32,Royce Freeman left end for 5 yards (tackle by Tre Flowers),17,17,1.070,1.200
3,4:04,2,5,DEN 37,Case Keenum pass incomplete deep left intended for Jake Butt,17,17,1.200,0.500
3,3:58,3,5,DEN 37,Case Keenum pass incomplete deep middle intended for Tim Patrick,17,17,0.500,-0.910
3,3:51,4,5,DEN 37,Marquette King punts 41 yards returned by Tyler Lockett for -2 yards (tackle by Phillip Lindsay),17,17,-0.910,-0.280
3,3:41,1,10,SEA 20,Chris Carson left tackle for 3 yards (tackle by Brandon Marshall and Von Miller),17,17,0.280,0.140
3,3:05,2,7,SEA 23,Russell Wilson pass incomplete short left intended for Chris Carson,17,17,0.140,-0.560
3,3:01,3,7,SEA 23,Russell Wilson pass incomplete short left intended for Brandon Marshall is intercepted by Justin Simmons at SEA-35,17,17,-0.560,-3.250
3,2:55,1,10,SEA 35,Royce Freeman middle for no gain (tackle by Jarran Reed),17,17,3.250,2.700
3,2:14,2,10,SEA 35,Case Keenum pass incomplete short left intended for Courtland Sutton (defended by Dion Jordan),17,17,2.700,2.010
3,2:11,3,10,SEA 35,Case Keenum pass incomplete short right intended for Courtland Sutton,17,17,2.010,0.970
3,2:06,4,10,SEA 35,Brandon McManus 53 yard field goal good,17,20,0.970,3.000
3,2:01,,,DEN 35,Brandon McManus kicks off 65 yards touchback,17,20,0.000,-0.610
3,2:01,1,10,SEA 25,Russell Wilson pass incomplete deep left intended for Brandon Marshall (defended by Chris Harris),17,20,0.610,0.060
3,1:52,2,10,SEA 25,Russell Wilson left end for 5 yards (tackle by Todd Davis). Penalty on Darian Stewart: Illegal Contact 5 yards,17,20,0.060,1.270
3,1:22,1,10,SEA 35,Rashaad Penny middle for -1 yards (tackle by Shelby Harris),17,20,1.270,0.590
3,0:41,2,11,SEA 34,Russell Wilson pass incomplete short middle intended for Rashaad Penny,17,20,0.590,-0.100
3,0:36,3,11,SEA 34,Russell Wilson pass complete short left to Brandon Marshall for 15 yards (tackle by Todd Davis),17,20,-0.100,2.190
4,15:00,1,10,SEA 49,Russell Wilson pass incomplete short left intended for Chris Carson (defended by Adam Gotsis),17,20,2.190,1.650
4,14:55,2,10,SEA 49,Russell Wilson pass complete deep middle to Tyler Lockett for 51 yards touchdown,23,20,1.650,7.000
4,14:46,,,DEN 15,Sebastian Janikowski kicks extra point good,24,20,0.000,0.000
4,14:46,,,SEA 35,Sebastian Janikowski kicks off 65 yards touchback,24,20,0.000,-0.610
4,14:46,1,10,DEN 25,Phillip Lindsay left end for 14 yards (tackle by Tedric Thompson),24,20,0.610,1.530
4,14:13,1,10,DEN 39,Phillip Lindsay left end for 5 yards (tackle by Bradley McDougald),24,20,1.530,1.660
4,13:35,2,5,DEN 44,Case Keenum pass complete short middle to Courtland Sutton for 25 yards (tackle by Bradley McDougald),24,20,1.660,3.510
4,13:04,1,10,SEA 31,Case Keenum pass incomplete. Penalty on Ronald Leary: Offensive Holding 10 yards (no play),24,20,3.510,2.850
4,12:58,1,20,SEA 41,Case Keenum pass complete short middle to Emmanuel Sanders for 8 yards (tackle by Austin Calitro),24,20,2.850,2.700
4,12:20,2,12,SEA 33,Case Keenum pass complete short left to Phillip Lindsay for 2 yards (tackle by Earl Thomas),24,20,2.700,2.280
