Quarter,Time,Down,ToGo,Location,Detail,KAN,LAC,EPB,EPA
4,8:36,2,19,LAC 16,Philip Rivers pass complete deep left to Mike Williams for 23 yards (tackle by Eric Murray),38,20,-1.290,1.530
4,8:07,1,10,LAC 39,Philip Rivers pass complete short middle to Antonio Gates for 9 yards (tackle by Eric Murray),38,20,1.530,2.200
4,7:42,2,1,LAC 48,Philip Rivers pass complete short middle to Antonio Gates for 7 yards (tackle by Anthony Hitchens),38,20,2.200,2.590
4,7:13,1,10,KAN 45,Austin Ekeler middle for 10 yards (tackle by Ron Parker and Tanoh Kpassagnon),38,20,2.590,3.250
4,6:36,1,10,KAN 35,Philip Rivers pass incomplete short middle intended for Melvin Gordon,38,20,3.250,2.700
4,6:32,2,10,KAN 35,Philip Rivers pass complete short left to Keenan Allen for 8 yards (tackle by Tanoh Kpassagnon),38,20,2.700,3.070
4,5:56,3,2,KAN 27,Philip Rivers pass incomplete short left intended for Melvin Gordon,38,20,3.070,1.800
4,5:52,4,2,KAN 27,Philip Rivers pass complete short right to Keenan Allen for 23 yards (tackle by Kendall Fuller),38,20,1.800,6.280
4,5:08,1,4,KAN 4,Philip Rivers pass complete short right to Tyrell Williams for 4 yards touchdown,38,26,6.280,7.000
4,5:01,,,KAN 2,Two Point Attempt: Melvin Gordon left end conversion succeeds,38,28,0.000,1.000
4,5:01,,,LAC 35,Caleb Sturgis kicks off 47 yards returned by De'Anthony Thomas for 7 yards (tackle by Jatavis Brown),38,28,0.000,-0.610
4,4:54,1,10,KAN 25,Kareem Hunt right end for -1 yards (tackle by Denzel Perryman and Darius Philon),38,28,0.610,-0.070
4,4:09,2,11,KAN 24,Patrick Mahomes pass complete short left to Sammy Watkins for 1 yard (tackle by Desmond King),38,28,-0.070,-0.620
4,3:25,3,10,KAN 25,Patrick Mahomes pass incomplete,38,28,-0.620,-1.700
4,3:18,4,10,KAN 25,Dustin Colquitt punts 60 yards returned by Travis Benjamin for -1 yards (tackle by Marcus Kemp),38,28,-1.700,0.280
4,3:05,1,10,LAC 14,Philip Rivers pass incomplete deep right intended for Travis Benjamin (defended by Ron Parker),38,28,-0.280,-0.750
4,2:56,2,10,LAC 14,Philip Rivers pass complete short middle to Melvin Gordon for 16 yards (tackle by Anthony Hitchens),38,28,-0.750,0.940
4,2:29,1,10,LAC 30,Philip Rivers pass complete short middle to Melvin Gordon for 13 yards (tackle by Terrance Smith and Kendall Fuller),38,28,0.940,1.800
4,2:03,1,10,LAC 43,Philip Rivers pass complete short middle to Austin Ekeler for 17 yards (tackle by Anthony Hitchens),38,28,1.800,2.920
