Quarter,Time,Down,ToGo,Location,Detail,NYJ,DET,EPB,EPA
3,13:10,,,NYJ 15,Matt Prater kicks extra point good,17,17,0.000,0.000
3,13:10,,,DET 35,Sam Martin kicks off 65 yards touchback,17,17,0.000,-0.610
3,13:10,1,10,NYJ 25,Sam Darnold pass complete short left to Terrelle Pryor for 12 yards (tackle by Jamal Agnew),17,17,0.610,1.400
3,12:35,1,10,NYJ 37,Bilal Powell left end for 10 yards (tackle by Quandre Diggs),17,17,1.400,2.060
3,11:50,1,10,NYJ 47,Sam Darnold pass incomplete short middle intended for Quincy Enunwa (defended by Nevin Lawson). Penalty on Nevin Lawson: Defensive Pass Interference 5 yards (no play),17,17,2.060,2.390
3,11:46,1,10,DET 48,Andre Roberts right end for 2 yards (tackle by Devon Kennard),17,17,2.390,2.120
3,11:02,2,8,DET 46,Sam Darnold pass complete deep right to Terrelle Pryor for 20 yards (tackle by Tavon Wilson),17,17,2.120,3.840
3,10:28,1,10,DET 26,Bilal Powell middle for 5 yards (tackle by Devon Kennard and Ricky Jean-Francois),17,17,3.840,3.970
3,9:44,2,5,DET 21,Sam Darnold pass complete short left to Quincy Enunwa for 21 yards touchdown,23,17,3.970,7.000
3,9:36,,,DET 15,Jason Myers kicks extra point good,24,17,0.000,0.000
3,9:36,,,NYJ 35,Jason Myers kicks off 65 yards touchback,24,17,0.000,-0.610
3,9:36,1,10,DET 25,Kerryon Johnson middle for no gain (tackle by Jordan Jenkins and Steve McLendon),24,17,0.610,0.060
3,8:58,2,10,DET 25,Kerryon Johnson middle for 9 yards (tackle by Brandon Copeland),24,17,0.060,0.560
3,8:16,3,1,DET 34,Matthew Stafford pass incomplete short left intended for Theo Riddick is intercepted by Darron Lee at DET-36 and returned for 36 yards touchdown,30,17,0.560,-7.000
3,,,,,Jason Myers kicks extra point good,31,17,0.000,0.000
3,8:07,,,NYJ 35,Jason Myers kicks off 65 yards touchback,31,17,0.000,-0.610
3,8:07,1,10,DET 25,LeGarrette Blount middle for 1 yard (tackle by Jordan Jenkins),31,17,0.610,0.200
3,7:34,2,9,DET 26,Matthew Stafford pass incomplete short right intended for Golden Tate,31,17,0.200,-0.490
3,7:24,3,9,DET 26,Matt Cassel pass incomplete short right intended for Golden Tate (defended by Buster Skrine),31,17,-0.490,-1.630
3,7:20,4,9,DET 26,Sam Martin punts 52 yards returned by Andre Roberts for 78 yards touchdown,37,17,-1.630,-7.000
3,,,,,Jason Myers kicks extra point good,38,17,0.000,0.000
3,7:00,,,NYJ 35,Jason Myers kicks off 65 yards touchback,38,17,0.000,-0.610
3,7:00,1,10,DET 25,Matthew Stafford pass incomplete short left intended for Golden Tate,38,17,0.610,0.060
3,6:57,2,10,DET 25,Matthew Stafford pass incomplete short middle intended for Luke Willson is intercepted by Darron Lee at DET-39 and returned for 21 yards,38,17,0.060,-4.370
3,6:47,1,10,DET 18,Isaiah Crowell middle for 1 yard (tackle by Da'Shawn Hand and Marquis Flowers),38,17,4.370,3.940
3,6:07,2,9,DET 17,Sam Darnold pass incomplete short right intended for Quincy Enunwa,38,17,3.940,3.170
3,6:00,3,9,DET 17,Isaiah Crowell left tackle for 3 yards (tackle by Eli Harold),38,17,3.170,2.530
3,5:19,4,6,DET 14,Jason Myers 32 yard field goal good,41,17,2.530,3.000
3,5:15,,,NYJ 35,Jason Myers kicks off 65 yards touchback,41,17,0.000,-0.610
3,5:15,1,10,DET 25,Theo Riddick left end for 6 yards (tackle by Avery Williamson and Doug Middleton),41,17,0.610,0.870
3,4:47,2,4,DET 31,Matthew Stafford pass complete short left to Levine Toilolo for 7 yards (tackle by Neville Hewitt),41,17,0.870,1.470
