Quarter,Time,Down,ToGo,Location,Detail,TEN,MIA,EPB,EPA
3,9:19,2,6,OTI 39,Marcus Mariota pass incomplete deep left intended for Tajae Sharpe is intercepted by Reshad Jones at MIA-39 and returned for 26 yards. Penalty on Jordan Phillips: Taunting (Offsetting) Penalty on Dion Lewis: Taunting (Offsetting) Penalty on Bobby McCain: Taunting (Offsetting),3,7,1.260,-3.250
3,9:04,1,10,OTI 35,Ryan Tannehill pass complete short left to Jakeem Grant for 4 yards (tackle by Logan Ryan),3,7,3.250,3.240
,,,,,TEN challenged the runner was down by contact ruling and the play was upheld.,,,,
3,8:39,2,6,OTI 31,Ryan Tannehill pass incomplete short right intended for Danny Amendola. Penalty on Logan Ryan: Defensive Holding 5 yards (no play),3,7,3.240,3.840
3,8:33,1,10,OTI 26,Ryan Tannehill pass complete short right to Danny Amendola for 8 yards (tackle by LeShaun Sims),3,7,3.840,4.450
3,8:05,2,2,OTI 18,Ryan Tannehill pass complete short left to Mike Gesicki for 11 yards (tackle by Kevin Byard),3,7,4.450,5.600
3,7:35,1,7,OTI 7,Kenyan Drake middle for 3 yards (tackle by Kenny Vaccaro),3,7,5.600,5.340
3,6:57,2,4,OTI 4,Ryan Tannehill pass incomplete short left intended for Mike Gesicki is intercepted by Malcolm Butler at TEN--1 and returned for 34 yards,3,7,5.340,-1.140
3,6:47,1,10,OTI 33,Marcus Mariota pass incomplete short right intended for Dion Lewis is intercepted by Kiko Alonso at TEN-29 and returned for 1 yard,3,7,1.140,-3.710
3,6:42,1,10,OTI 28,Frank Gore middle for 4 yards (tackle by Malcolm Butler and Brian Orakpo),3,7,3.710,3.710
3,6:02,2,6,OTI 24,Ryan Tannehill pass complete short right to Kenny Stills for 10 yards (tackle by Adoree' Jackson),3,7,3.710,4.650
3,5:23,,,,Timeout #1 by Miami Dolphins,3,7,,
3,5:23,1,10,OTI 14,Ryan Tannehill pass incomplete short right intended for Albert Wilson (defended by Malcolm Butler),3,7,4.650,4.000
3,5:18,2,10,OTI 14,Frank Gore middle for 8 yards (tackle by Kevin Byard),3,7,4.000,4.730
3,4:51,3,2,OTI 6,Frank Gore right tackle for -3 yards (tackle by Jurrell Casey and Kamalei Correa),3,7,4.730,2.880
3,4:09,4,5,OTI 9,Jason Sanders 27 yard field goal good,3,10,2.880,3.000
3,4:05,,,MIA 35,Jason Sanders kicks off 65 yards touchback,3,10,0.000,-0.610
3,4:05,1,10,OTI 25,Blaine Gabbert for 8 yards (tackle by Cameron Wake and Akeem Spence),3,10,0.610,1.140
3,3:38,2,2,OTI 33,Penalty on Davon Godchaux: Neutral Zone Infraction 5 yards (no play),3,10,1.140,1.470
3,3:15,1,10,OTI 38,Dion Lewis right end for 2 yards (tackle by Xavien Howard and Cameron Wake),3,10,1.470,1.190
3,2:32,2,8,OTI 40,Dion Lewis left tackle for 26 yards (tackle by Kiko Alonso and Akeem Spence),3,10,1.190,3.310
3,1:59,1,10,MIA 34,Dion Lewis middle for -2 yards (tackle by Reshad Jones),3,10,3.310,2.500
3,1:08,2,12,MIA 36,Blaine Gabbert pass complete short right to Delanie Walker for 16 yards (tackle by Vincent Taylor),3,10,2.500,4.240
3,0:30,1,10,MIA 20,Blaine Gabbert pass incomplete short left intended for Tajae Sharpe (defended by Bobby McCain),3,10,4.240,3.690
3,0:26,2,10,MIA 20,Dion Lewis left tackle for 1 yard (tackle by Vincent Taylor),3,10,3.690,3.100
4,15:00,3,9,MIA 19,Blaine Gabbert pass complete short middle to Corey Davis for 15 yards (tackle by Reshad Jones),3,10,3.100,6.280
4,14:22,1,4,MIA 4,Dion Lewis middle for 4 yards touchdown,9,10,6.280,7.000
4,14:17,,,MIA 15,Ryan Succop kicks extra point good,10,10,0.000,0.000
4,14:17,,,OTI 35,Ryan Succop kicks off 67 yards returned by Jakeem Grant for 102 yards touchdown,10,16,0.000,-7.000
4,14:04,,,OTI 15,Jason Sanders kicks extra point good,10,17,0.000,0.000
4,14:04,,,MIA 35,Jason Sanders kicks off 65 yards touchback,10,17,0.000,-0.610
4,14:04,1,10,OTI 25,Blaine Gabbert pass incomplete short middle intended for Corey Davis,10,17,0.610,0.060
4,14:01,2,10,OTI 25,Blaine Gabbert pass complete short right to Delanie Walker for 13 yards (tackle by Reshad Jones),10,17,0.060,1.470
4,13:23,1,10,OTI 38,Derrick Henry right end for 2 yards. Penalty on Delanie Walker: Offensive Holding 10 yards,10,17,1.470,0.940
4,13:14,1,18,OTI 30,Blaine Gabbert pass complete short middle to Luke Stocker for 6 yards (tackle by Raekwon McMillan and Chase Allen),10,17,0.940,0.650
4,12:30,2,12,OTI 36,Blaine Gabbert pass incomplete short left intended for Dion Lewis,10,17,0.650,-0.030
4,12:26,3,12,OTI 36,Blaine Gabbert pass complete short left to Dion Lewis for 6 yards (tackle by Raekwon McMillan and Robert Quinn),10,17,-0.030,-0.590
4,11:45,4,6,OTI 42,Brett Kern punts 49 yards returned by Danny Amendola for 2 yards (tackle by Dane Cruikshank),10,17,-0.590,0.370
4,11:39,1,10,MIA 11,Ryan Tannehill middle for 4 yards (tackle by Logan Ryan and Wesley Woodyard),10,17,-0.370,-0.430
4,11:08,2,6,MIA 15,Ryan Tannehill pass incomplete short left intended for Kenny Stills,10,17,-0.430,-0.950
4,11:04,3,6,MIA 15,Ryan Tannehill pass complete short left to Kenyan Drake for 10 yards,10,17,-0.950,0.610
4,10:33,1,10,MIA 25,Ryan Tannehill pass complete deep middle to Kenny Stills for 75 yards touchdown,10,23,0.610,7.000
4,10:22,,,OTI 15,Jason Sanders kicks extra point good,10,24,0.000,0.000
4,10:22,,,MIA 35,Jason Sanders kicks off 59 yards returned by Darius Jennings for 94 yards touchdown,16,24,0.000,-7.000
4,10:11,,,MIA 15,Ryan Succop kicks extra point good,17,24,0.000,0.000
4,10:11,,,OTI 35,Ryan Succop kicks off 65 yards touchback,17,24,0.000,-0.610
4,10:11,1,10,MIA 25,Ryan Tannehill pass incomplete deep right intended for Jakeem Grant (defended by Kevin Byard),17,24,0.610,0.060
4,10:05,2,10,MIA 25,Ryan Tannehill pass complete short right to Jakeem Grant for 6 yards (tackle by Adoree' Jackson),17,24,0.060,0.170
4,9:28,3,4,MIA 31,Ryan Tannehill for no gain. Penalty on Josh Sitton: Offensive Holding 11 yards (no play),17,24,0.170,-1.290
4,8:55,3,15,MIA 20,Ryan Tannehill pass incomplete deep middle intended for Jakeem Grant is intercepted by Kenny Vaccaro at TEN-43,17,24,-1.290,-1.800
4,8:47,1,10,OTI 43,Dion Lewis right guard for 7 yards (tackle by Jerome Baker and Raekwon McMillan),17,24,1.800,2.200
4,8:12,2,3,50,Blaine Gabbert pass incomplete short right intended for Jonnu Smith,17,24,2.200,1.490
4,8:07,3,3,50,Blaine Gabbert pass complete short right to Dion Lewis for 3 yards (tackle by Kiko Alonso),17,24,1.490,2.460
4,7:35,1,10,MIA 47,Dion Lewis left tackle for 5 yards (tackle by Robert Quinn and Jerome Baker),17,24,2.460,2.590
4,6:58,2,5,MIA 42,Dion Lewis right tackle for 1 yard (tackle by Raekwon McMillan and Xavien Howard),17,24,2.590,2.010
4,6:20,3,4,MIA 41,Blaine Gabbert pass incomplete short left intended for Delanie Walker is intercepted by Reshad Jones at MIA-34 and returned for 54 yards,17,24,2.010,-4.780
4,6:04,1,10,OTI 12,Kenyan Drake right tackle for -3 yards (tackle by Jurrell Casey and Wesley Woodyard),17,24,4.780,3.660
4,5:17,2,13,OTI 15,Ryan Tannehill sacked by Kamalei Correa for -8 yards,17,24,3.660,2.080
4,4:35,,,,Timeout #2 by Tennessee Titans,17,24,,
4,4:35,3,21,OTI 23,Ryan Tannehill pass complete short left to Kenny Stills for 11 yards (tackle by Wesley Woodyard and Logan Ryan),17,24,2.080,2.630
