Quarter,Time,Down,ToGo,Location,Detail,CIN,IND,EPB,EPA
2,3:01,1,10,CIN 25,Andy Dalton pass complete short right to C.J. Uzomah for 4 yards (tackle by Clayton Geathers),3,13,0.610,0.600
2,2:40,2,6,CIN 29,Joe Mixon left tackle for 5 yards,3,13,0.600,0.560
2,2:19,3,1,CIN 34,Joe Mixon left end for 27 yards (tackle by Malik Hooker),3,13,0.560,2.980
2,2:00,1,10,CLT 39,Andy Dalton pass incomplete deep left intended for A.J. Green. Penalty on Quincy Wilson: Defensive Pass Interference 36 yards (no play),3,13,2.980,6.510
2,1:54,1,3,CLT 3,Andy Dalton pass incomplete short right intended for A.J. Green,3,13,6.510,5.530
2,1:48,2,3,CLT 3,Andy Dalton pass complete short left to John Ross for 3 yards touchdown,9,13,5.530,7.000
2,1:44,,,CLT 15,Randy Bullock kicks extra point good,10,13,0.000,0.000
2,1:44,,,CIN 35,Randy Bullock kicks off 69 yards returned by Zach Pascal for 28 yards (tackle by Tra Carson),10,13,0.000,-0.540
2,1:38,1,10,CLT 24,Andrew Luck pass complete short left to Jack Doyle for 5 yards (tackle by Darqueze Dennard),10,13,0.540,0.670
2,1:20,2,5,CLT 29,Andrew Luck pass complete short right to Nyheim Hines for 7 yards (tackle by Ryan Glasgow),10,13,0.670,1.330
2,1:00,1,10,CLT 36,Andrew Luck pass complete short middle to Nyheim Hines for 8 yards (tackle by Nick Vigil),10,13,1.330,1.870
2,0:53,,,,Timeout #1 by Indianapolis Colts,10,13,,
2,0:53,2,2,CLT 44,Andrew Luck pass complete short left to Eric Ebron for 1 yard (tackle by Nick Vigil),10,13,1.870,1.290
2,0:41,,,,Timeout #2 by Cincinnati Bengals,10,13,,
2,0:41,3,1,CLT 45,Nyheim Hines left guard for 4 yards (tackle by Clayton Fejedelem),10,13,1.290,2.190
2,0:27,1,10,CLT 49,Andrew Luck pass incomplete deep middle intended for T.Y. Hilton (defended by Dre Kirkpatrick). Penalty on Carlos Dunlap: Roughing the Passer 15 yards (no play),10,13,2.190,3.180
2,0:19,1,10,CIN 36,Andrew Luck pass complete short right to Nyheim Hines for -5 yards (tackle by Ryan Glasgow),10,13,3.180,1.960
2,0:14,,,,Timeout #2 by Indianapolis Colts,10,13,,
2,0:14,2,15,CIN 41,Andrew Luck pass complete short middle to Jack Doyle for 8 yards (tackle by Hardy Nickerson),10,13,1.960,2.350
2,0:06,,,,Timeout #3 by Indianapolis Colts,10,13,,
2,0:06,3,7,CIN 33,Adam Vinatieri 51 yard field goal good,10,16,2.350,3.000
2,0:02,,,CLT 35,Rigoberto Sanchez kicks off 37 yards returned by Giovani Bernard for 14 yards (tackle by Corey Moore),10,16,0.000,2.260
3,15:00,,,CIN 35,Randy Bullock kicks off 65 yards touchback,10,16,0.000,-0.610
3,15:00,1,10,CLT 25,Andrew Luck pass incomplete short right intended for Jack Doyle,10,16,0.610,0.060
3,14:54,2,10,CLT 25,Jordan Wilkins left tackle for -2 yards (tackle by Nick Vigil),10,16,0.060,-0.890
3,14:16,3,12,CLT 23,Andrew Luck sacked by Geno Atkins for -6 yards,10,16,-0.890,-2.320
3,13:43,4,18,CLT 17,Rigoberto Sanchez punts 49 yards returned by Alex Erickson for -1 yards (tackle by Zaire Franklin),10,16,-2.320,-1.140
3,13:32,1,10,CIN 33,Penalty on Clint Boling: False Start 5 yards (no play),10,16,1.140,0.810
