Quarter,Time,Down,ToGo,Location,Detail,BAL,CLE,EPB,EPA
3,15:00,1,10,CLE 25,Baker Mayfield sacked by Brandon Williams for -8 yards,3,6,0.610,-1.150
3,14:20,2,18,CLE 17,Carlos Hyde left tackle for 17 yards (tackle by Eric Weddle),3,6,-1.150,0.560
3,13:54,3,1,CLE 34,Carlos Hyde right guard for 8 yards (tackle by Tony Jefferson),3,6,0.560,1.730
3,13:17,1,10,CLE 42,Baker Mayfield pass complete short left to Jarvis Landry for no gain,3,6,1.730,1.190
3,13:17,2,10,CLE 42,Nick Chubb right guard for 1 yard (tackle by Brandon Williams),3,6,1.190,0.630
3,12:00,3,9,CLE 43,Baker Mayfield pass incomplete short left intended for David Njoku,3,6,0.630,-0.520
3,11:53,4,9,CLE 43,Britton Colquitt punts 57 yards touchback,3,6,-0.520,-0.280
3,11:45,1,10,RAV 20,Alex Collins right guard for no gain (tackle by Christian Kirksey),3,6,0.280,-0.270
3,11:15,2,10,RAV 20,Joe Flacco pass incomplete short right intended for Michael Crabtree,3,6,-0.270,-0.960
3,11:12,3,10,RAV 20,Joe Flacco pass complete short left to John Brown for 15 yards (tackle by Denzel Ward),3,6,-0.960,1.270
3,10:41,1,10,RAV 35,Joe Flacco pass incomplete deep left intended for John Brown,3,6,1.270,0.720
3,10:36,2,10,RAV 35,Joe Flacco pass complete short middle to Javorius Allen for 7 yards (tackle by Joe Schobert and Jamie Collins). Javorius Allen fumbles (forced by Joe Schobert) recovered by Trevon Coley at BAL-42 (tackle by Maxx Williams),3,6,0.720,-2.790
3,10:28,1,10,RAV 42,Penalty on Kevin Zeitler: False Start 5 yards (no play),3,6,2.790,2.460
3,10:28,1,15,RAV 47,Baker Mayfield pass complete short left to Jarvis Landry for 15 yards (tackle by Tony Jefferson). Penalty on Jimmy Smith: Illegal Contact (Declined),3,6,2.460,3.450
3,10:03,1,10,RAV 32,Carlos Hyde right tackle for no gain (tackle by Za'Darius Smith),3,6,3.450,2.900
3,9:30,2,10,RAV 32,Baker Mayfield pass incomplete short left intended for Nick Chubb,3,6,2.900,2.210
3,9:25,3,10,RAV 32,Baker Mayfield pass complete deep left to Rashard Higgins for 26 yards (tackle by Tavon Young),3,6,2.210,5.830
3,9:00,,,,Timeout #1 by Cleveland Browns,3,6,,
3,9:00,1,6,RAV 6,Baker Mayfield pass incomplete short right intended for Jarvis Landry,3,6,5.830,4.950
3,8:56,2,6,RAV 6,Carlos Hyde left guard for no gain (tackle by Tony Jefferson and Patrick Onwuasor),3,6,4.950,4.040
3,8:16,3,6,RAV 6,Baker Mayfield sacked by Willie Henry for -11 yards,3,6,4.040,2.310
3,7:32,4,17,RAV 17,Greg Joseph 35 yard field goal good. Penalty on Tim White: Defensive Offside (Declined),3,9,2.310,3.000
3,7:29,,,CLE 35,Greg Joseph kicks off 65 yards touchback,3,9,0.000,-0.610
3,7:29,1,10,RAV 25,Joe Flacco pass complete short left to Alex Collins for 1 yard (tackle by Joe Schobert). Penalty on Myles Garrett: Defensive Offside 5 yards (no play),3,9,0.610,1.340
3,6:56,1,5,RAV 30,Alex Collins right guard for -3 yards (tackle by Christian Kirksey),3,9,1.340,0.330
3,6:29,2,8,RAV 27,Javorius Allen right end for 17 yards (tackle by Joe Schobert and Christian Kirksey),3,9,0.330,1.860
3,5:59,1,10,RAV 44,Lamar Jackson right guard for 3 yards (tackle by Chris Smith),3,9,1.860,1.720
3,5:31,2,7,RAV 47,Joe Flacco pass complete short middle to Nick Boyle for 10 yards (tackle by Trevon Coley and Jamie Collins),3,9,1.720,2.720
3,5:06,1,10,CLE 43,Joe Flacco pass complete short right to Javorius Allen for 5 yards (tackle by Christian Kirksey and Trevon Coley),3,9,2.720,2.850
3,4:27,2,5,CLE 38,Joe Flacco pass complete short middle to Willie Snead for 13 yards (tackle by Jamie Collins),3,9,2.850,3.910
3,3:55,1,10,CLE 25,Joe Flacco pass complete short right to De'Lance Turner for 7 yards (tackle by Joe Schobert),3,9,3.910,4.370
3,3:24,2,3,CLE 18,Joe Flacco pass complete short left to Michael Crabtree for 1 yard (tackle by Damarious Randall),3,9,4.370,3.850
3,2:45,3,2,CLE 17,Lamar Jackson right end for 3 yards (tackle by Denzel Ward),3,9,3.850,4.650
3,2:13,1,10,CLE 14,Joe Flacco pass complete short middle to Willie Snead for 5 yards (tackle by Christian Kirksey),3,9,4.650,4.900
3,1:29,2,5,CLE 9,Javorius Allen right guard for 2 yards (tackle by Jamie Collins),3,9,4.900,4.500
3,1:00,3,3,CLE 7,Joe Flacco pass incomplete short middle intended for Michael Crabtree,3,9,4.500,2.990
3,0:56,4,3,CLE 7,Justin Tucker 25 yard field goal good,6,9,2.990,3.000
3,0:53,,,RAV 35,Justin Tucker kicks off 65 yards touchback,6,9,0.000,-0.610
3,0:53,1,10,CLE 25,Baker Mayfield sacked by Terrell Suggs for -5 yards,6,9,0.610,-0.610
3,0:13,2,15,CLE 20,Baker Mayfield middle for 10 yards,6,9,-0.610,0.040
4,15:00,3,5,CLE 30,Baker Mayfield left end for 16 yards (tackle by Eric Weddle). Penalty on Desmond Harrison: Offensive Holding 10 yards (no play),6,9,0.040,-1.290
4,14:26,3,15,CLE 20,Baker Mayfield pass complete short right to David Njoku for 14 yards (tackle by Anthony Levine),6,9,-1.290,-1.110
