Quarter,Time,Down,ToGo,Location,Detail,DEN,NYJ,EPB,EPA
2,0:31,4,13,DEN 46,Colby Wadman punts 50 yards returned by Andre Roberts for 3 yards (tackle by Dymonte Thomas). Penalty on Doug Middleton: Illegal Block Above the Waist 3 yards,10,21,-0.320,0.380
2,0:19,1,10,NYJ 4,Sam Darnold kneels for -1 yards,10,21,-0.380,-0.850
3,15:00,,,DEN 35,Brandon McManus kicks off 61 yards returned by Andre Roberts for 8 yards (tackle by Devontae Booker),10,21,0.000,0.350
3,14:51,1,10,NYJ 12,Isaiah Crowell left guard for 54 yards (tackle by Justin Simmons),10,21,-0.350,3.310
3,14:23,1,10,DEN 34,Isaiah Crowell right end for -1 yards (tackle by Von Miller),10,21,3.310,2.640
3,13:39,2,11,DEN 35,Sam Darnold pass incomplete deep middle intended for Quincy Enunwa,10,21,2.640,1.950
3,13:32,3,11,DEN 35,Sam Darnold pass incomplete short left intended for Andre Roberts is intercepted by Derek Wolfe at DEN-39 and returned for 2 yards,10,21,1.950,-1.660
3,13:27,1,10,DEN 41,Case Keenum pass complete short left to Demaryius Thomas for 17 yards (tackle by Morris Claiborne),10,21,1.660,2.790
3,12:50,1,10,NYJ 42,Case Keenum pass incomplete deep left intended for Emmanuel Sanders (defended by Morris Claiborne),10,21,2.790,2.240
3,12:45,2,10,NYJ 42,Case Keenum pass complete short middle to Royce Freeman for 4 yards (tackle by Avery Williamson),10,21,2.240,2.080
3,12:13,3,6,NYJ 38,Case Keenum sacked by Leonard Williams and Jordan Jenkins for -11 yards,10,21,2.080,0.000
3,11:34,4,17,NYJ 49,Colby Wadman punts 34 yards fair catch by Trenton Cannon,10,21,0.000,0.220
,,,,,DEN challenged the kick downed ruling and the play was upheld.,,,,
3,11:26,1,10,NYJ 15,Bilal Powell middle for 2 yards (tackle by Von Miller),10,21,-0.220,-0.440
3,10:45,2,8,NYJ 17,Bilal Powell for 3 yards. Penalty on Quincy Enunwa: Offensive Holding 10 yards,10,21,-0.440,-1.150
3,10:19,2,15,NYJ 10,Sam Darnold pass complete short right to Eric Tomlinson for 3 yards (tackle by Todd Davis),10,21,-1.150,-1.640
3,9:43,3,12,NYJ 13,Sam Darnold pass complete short left to Jermaine Kearse for 14 yards,10,21,-1.640,0.740
3,9:11,1,10,NYJ 27,Bilal Powell middle for 3 yards (tackle by Zach Kerr),10,21,0.740,0.600
3,8:30,2,7,NYJ 30,Bilal Powell right tackle for 16 yards (tackle by Chris Harris and Shane Ray),10,21,0.600,1.990
3,7:48,1,10,NYJ 46,Isaiah Crowell for 7 yards,10,21,1.990,2.400
3,7:09,2,3,DEN 47,Isaiah Crowell middle for 3 yards (tackle by Shelby Harris and Adam Gotsis),10,21,2.400,2.650
3,6:30,1,10,DEN 44,Sam Darnold pass complete short middle to Isaiah Crowell for 12 yards (tackle by Adam Gotsis and Todd Davis),10,21,2.650,3.450
3,5:43,1,10,DEN 32,Sam Darnold pass incomplete short left intended for Quincy Enunwa (defended by Bradley Chubb),10,21,3.450,2.900
3,5:40,2,10,DEN 32,Bilal Powell right guard for 1 yard (tackle by Zach Kerr and Von Miller),10,21,2.900,2.340
3,5:01,3,9,DEN 31,Sam Darnold pass incomplete short left intended for Jermaine Kearse (defended by Bradley Roby),10,21,2.340,1.320
3,4:56,4,9,DEN 31,Jason Myers 49 yard field goal good,10,24,1.320,3.000
3,4:52,,,NYJ 35,Jason Myers kicks off 65 yards touchback,10,24,0.000,-0.610
3,4:52,1,10,DEN 25,Case Keenum pass complete short right to Phillip Lindsay for 7 yards (tackle by Parry Nickerson),10,24,0.610,1.010
3,4:22,2,3,DEN 32,Phillip Lindsay right tackle for -2 yards (tackle by Jamal Adams),10,24,1.010,0.040
