Quarter,Time,Down,ToGo,Location,Detail,IND,NYJ,EPB,EPA
3,1:44,2,10,NYJ 40,Andrew Luck pass complete short left to Ryan Grant for 12 yards (tackle by Morris Claiborne),20,33,2.370,3.710
3,1:12,1,10,NYJ 28,Marlon Mack middle for 4 yards (tackle by Parry Nickerson),20,33,3.710,3.710
3,0:53,2,6,NYJ 24,Marlon Mack middle for 9 yards (tackle by Terrence Brooks),20,33,3.710,4.580
3,0:29,1,10,NYJ 15,Marlon Mack left guard for 3 yards (tackle by Darron Lee). Penalty on Terrence Brooks: Face Mask (15 Yards) 6 yards,20,33,4.580,5.830
3,0:04,1,6,NYJ 6,Andrew Luck pass incomplete short left intended for Chester Rogers. Penalty on Parry Nickerson: Defensive Pass Interference 5 yards Penalty on Steve McLendon: Defensive Offside (Declined) (no play),20,33,5.830,6.970
3,0:00,,,,Timeout #1 by New York Jets,20,33,,
3,0:00,1,1,NYJ 1,Penalty on Braden Smith: False Start 5 yards (no play),20,33,6.970,5.830
3,0:00,1,6,NYJ 6,Andrew Luck pass complete short right to Marlon Mack for 4 yards (tackle by Brandon Copeland),20,33,5.830,5.720
4,15:00,2,2,NYJ 2,Andrew Luck pass incomplete short middle intended for Mo Alie-Cox (defended by Avery Williamson),20,33,5.720,4.950
4,14:54,3,2,NYJ 2,Andrew Luck pass complete short left to Erik Swoope for 2 yards touchdown,26,33,4.950,7.000
4,14:52,,,NYJ 15,Adam Vinatieri kicks extra point good,27,33,0.000,0.000
4,14:52,,,CLT 35,Rigoberto Sanchez kicks off 65 yards touchback,27,33,0.000,-0.610
4,14:52,1,10,NYJ 25,Sam Darnold sacked by Jabaal Sheard for -10 yards,27,33,0.610,-1.430
4,14:08,2,20,NYJ 15,Sam Darnold pass complete short middle to Jermaine Kearse for 21 yards (tackle by Pierre Desir),27,33,-1.430,1.330
4,13:32,1,10,NYJ 36,Bilal Powell left guard for no gain (tackle by Anthony Walker),27,33,1.330,0.790
4,12:50,2,10,NYJ 36,Sam Darnold middle for 5 yards (tackle by Zaire Franklin),27,33,0.790,0.760
4,12:02,3,5,NYJ 41,Sam Darnold pass complete short middle to Jermaine Kearse for 6 yards (tackle by Mike Mitchell),27,33,0.760,2.060
4,11:28,1,10,NYJ 47,Bilal Powell left end for 3 yards (tackle by Pierre Desir). Bilal Powell fumbles (forced by Pierre Desir) ball out of bounds at 50. Penalty on Kemoko Turay: Face Mask (15 Yards) 15 yards,27,33,2.060,3.250
4,11:01,1,10,CLT 35,Sam Darnold pass complete short left to Jermaine Kearse for 6 yards (tackle by Pierre Desir),27,33,3.250,3.510
4,10:29,2,4,CLT 29,Bilal Powell middle for 2 yards,27,33,3.510,3.070
4,9:52,3,2,CLT 27,Sam Darnold pass incomplete short right intended for Bilal Powell (defended by Anthony Walker),27,33,3.070,1.800
4,9:44,4,2,CLT 27,Jason Myers 45 yard field goal good,27,36,1.800,3.000
4,9:40,,,NYJ 35,Jason Myers kicks off 65 yards touchback,27,36,0.000,-0.610
4,9:40,1,10,CLT 25,Marlon Mack middle for 9 yards (tackle by Darron Lee),27,36,0.610,1.280
4,9:17,2,1,CLT 34,Marlon Mack middle for 6 yards (tackle by Steve McLendon),27,36,1.280,1.600
4,8:41,1,10,CLT 40,Andrew Luck pass incomplete. Penalty on Andrew Luck: Intentional Grounding 11 yards,27,36,1.600,-0.430
4,8:36,2,21,CLT 29,Andrew Luck pass complete short left to Chester Rogers for 16 yards (tackle by Terrence Brooks),27,36,-0.430,1.030
4,8:11,3,5,CLT 45,Andrew Luck pass incomplete short middle intended for Chester Rogers is intercepted by Darron Lee at 50 and returned for 25 yards,27,36,1.030,-3.910
4,7:59,1,10,CLT 25,Sam Darnold pass complete short right to Terrelle Pryor for 4 yards (tackle by Anthony Walker),27,36,3.910,3.900
4,7:22,2,6,CLT 21,Isaiah Crowell middle for 4 yards (tackle by Grover Stewart),27,36,3.900,3.850
4,6:37,,,,Timeout #2 by New York Jets,27,36,,
4,6:37,3,2,CLT 17,Sam Darnold for no gain. Spencer Long fumbles recovered by Isaiah Crowell at IND-19,27,36,3.850,2.260
4,5:58,4,4,CLT 19,Jason Myers 37 yard field goal good,27,39,2.260,3.000
4,5:55,,,NYJ 35,Jason Myers kicks off 65 yards touchback,27,39,0.000,-0.610
4,5:55,1,10,CLT 25,Andrew Luck pass complete short middle to Zach Pascal for 6 yards (tackle by Parry Nickerson),27,39,0.610,0.870
4,5:34,2,4,CLT 31,Andrew Luck pass incomplete deep right intended for Eric Ebron,27,39,0.870,0.170
4,5:30,3,4,CLT 31,Andrew Luck pass incomplete short right intended for Chester Rogers,27,39,0.170,-1.310
4,5:25,4,4,CLT 31,Andrew Luck pass incomplete deep middle intended for Zach Pascal,27,39,-1.310,-3.510
4,5:17,1,10,CLT 31,Penalty on Jabaal Sheard: Encroachment 5 yards (no play),27,39,3.510,4.240
4,5:17,1,5,CLT 26,Bilal Powell right guard for 2 yards (tackle by Mike Mitchell),27,39,4.240,3.910
4,4:32,2,3,CLT 24,Bilal Powell middle for 7 yards (tackle by Grover Stewart and Nate Hairston),27,39,3.910,4.440
