Quarter,Time,Down,ToGo,Location,Detail,ATL,CLE,EPB,EPA
4,7:18,1,10,ATL 46,Matt Ryan pass complete short left to Mohamed Sanu for 7 yards (tackle by T.J. Carrie),10,28,1.990,2.400
4,6:41,2,3,CLE 47,Matt Ryan pass incomplete short left intended for Austin Hooper,10,28,2.400,1.690
4,6:37,3,3,CLE 47,Matt Ryan pass complete short right to Calvin Ridley for 31 yards (tackle by Briean Boddy-Calhoun),10,28,1.690,4.510
4,6:09,1,10,CLE 16,Matt Ryan pass complete short middle to Tevin Coleman for 6 yards (tackle by Briean Boddy-Calhoun),10,28,4.510,4.970
4,5:41,2,4,CLE 10,Matt Ryan pass incomplete short left intended for Julio Jones (defended by T.J. Carrie),10,28,4.970,4.170
4,5:38,3,4,CLE 10,Matt Ryan pass complete short middle to Austin Hooper for 9 yards (tackle by Jabrill Peppers),10,28,4.170,6.970
4,5:08,1,1,CLE 1,Matt Ryan pass incomplete short right intended for Mohamed Sanu,10,28,6.970,5.910
4,5:05,2,1,CLE 1,Matt Ryan pass incomplete short right intended for Julio Jones (defended by T.J. Carrie),10,28,5.910,5.170
4,5:00,3,1,CLE 1,Tevin Coleman right guard for -2 yards (tackle by Damarious Randall),10,28,5.170,3.040
4,4:29,4,3,CLE 3,Matt Ryan pass complete short right to Austin Hooper for 3 yards touchdown,16,28,3.040,7.000
4,4:24,,,CLE 2,Two Point Attempt: Matt Ryan conversion fails,16,28,0.000,-1.000
4,4:24,,,ATL 35,Matthew Bosher kicks off 53 yards returned by Jarvis Landry for 8 yards,16,28,0.000,-0.280
4,4:20,1,10,CLE 20,Nick Chubb left guard for 1 yard (tackle by Kemal Ishmael and Grady Jarrett),16,28,0.280,-0.130
4,4:16,,,,Timeout #1 by Atlanta Falcons,16,28,,
4,4:16,2,9,CLE 21,Nick Chubb left tackle for 3 yards (tackle by Derrick Shelby),16,28,-0.130,-0.430
4,4:12,,,,Timeout #2 by Atlanta Falcons,16,28,,
4,4:12,3,6,CLE 24,Baker Mayfield left end for no gain (tackle by Duke Riley),16,28,-0.430,-1.770
4,4:05,4,6,CLE 24,Britton Colquitt punts 57 yards,16,28,-1.770,-0.150
4,4:05,,,,Timeout #3 by Atlanta Falcons,16,28,,
4,3:52,1,10,ATL 19,Matt Ryan right guard for 8 yards,16,28,0.150,0.750
4,3:30,2,2,ATL 27,Matt Ryan pass complete short middle to Tevin Coleman for 5 yards (tackle by Jamie Collins),16,28,0.750,1.070
4,3:08,1,10,ATL 32,Matt Ryan pass complete short right to Austin Hooper for 5 yards (tackle by Denzel Ward),16,28,1.070,1.200
4,2:49,2,5,ATL 37,Matt Ryan pass complete short right to Justin Hardy for 7 yards (tackle by Jamie Collins),16,28,1.200,1.860
4,2:31,1,10,ATL 44,Matt Ryan pass complete deep right to Eric Saubert for 17 yards (tackle by Jamie Collins),16,28,1.860,2.980
4,2:15,1,10,CLE 39,Matt Ryan spiked the ball,16,28,2.980,2.440
4,2:14,2,10,CLE 39,Matt Ryan pass complete short left to Ito Smith for 4 yards (tackle by Briean Boddy-Calhoun),16,28,2.440,2.280
4,2:00,3,6,CLE 35,Matt Ryan pass complete short right to Julio Jones for 3 yards (tackle by T.J. Carrie),16,28,2.280,1.290
4,1:32,4,3,CLE 32,Matt Ryan sacked by Chris Smith for -5 yards. Matt Ryan fumbles (forced by Chris Smith) recovered by Jamie Collins at CLE-49 (tackle by Jake Matthews),16,28,1.290,-2.190
4,1:19,1,10,CLE 49,Baker Mayfield kneels for -1 yards,16,28,2.190,1.510
4,0:37,2,11,CLE 48,Baker Mayfield kneels for -1 yards,16,28,1.510,0.700
