Quarter,Time,Down,ToGo,Location,Detail,CLE,TAM,EPB,EPA
3,10:45,2,25,CLE 43,Jameis Winston pass incomplete short middle intended for DeSean Jackson (defended by Emmanuel Ogbah),9,16,1.140,0.500
3,10:42,3,25,CLE 43,Jameis Winston pass incomplete deep middle intended for Adam Humphries,9,16,0.500,0.400
3,10:36,4,25,CLE 43,Bryan Anger punts 35 yards fair catch by Jabrill Peppers,9,16,0.400,0.380
3,10:29,1,10,CLE 8,Nick Chubb middle for 7 yards (tackle by Justin Evans and Adarius Taylor),9,16,-0.380,-0.210
3,9:49,2,3,CLE 15,Baker Mayfield pass incomplete deep right intended for Jarvis Landry,9,16,-0.210,-0.600
3,9:43,3,3,CLE 15,Baker Mayfield pass complete short left to Antonio Callaway for 14 yards (tackle by Lavonte David),9,16,-0.600,0.870
3,9:07,1,10,CLE 29,Duke Johnson left guard for -2 yards (tackle by Jason Pierre-Paul). Penalty on Rakeem Nunez-Roches: Defensive Holding 5 yards (no play),9,16,0.870,1.200
3,8:45,1,10,CLE 34,Baker Mayfield sacked by Adarius Taylor for -1 yards,9,16,1.200,0.520
3,8:24,2,11,CLE 33,Baker Mayfield sacked by William Gholston for -5 yards,9,16,0.520,-0.820
3,7:43,3,16,CLE 28,Baker Mayfield pass complete short right to Jarvis Landry for 5 yards (tackle by M.J. Stewart),9,16,-0.820,-1.180
3,7:10,4,11,CLE 33,Britton Colquitt punts 53 yards returned by Adam Humphries for 13 yards,9,16,-1.180,-0.740
3,6:58,1,10,TAM 27,Peyton Barber right end for 2 yards (tackle by Jamie Collins),9,16,0.740,0.470
3,6:13,2,8,TAM 29,Jameis Winston pass complete short right to Antony Auclair for 4 yards (tackle by Damarious Randall),9,16,0.470,0.300
3,5:35,3,4,TAM 33,Jameis Winston pass complete short right to Mike Evans for 9 yards (tackle by Damarious Randall),9,16,0.300,1.730
3,4:58,1,10,TAM 42,Ronald Jones middle for 1 yard (tackle by Jamie Collins),9,16,1.730,1.320
3,4:22,2,9,TAM 43,Jameis Winston pass complete short middle to O.J. Howard for 8 yards (tackle by Jamie Collins and Christian Kirksey),9,16,1.320,1.690
3,3:45,3,1,CLE 49,Jameis Winston pass incomplete short left intended for Alan Cross (defended by Emmanuel Ogbah),9,16,1.690,0.000
3,3:40,4,1,CLE 49,Jameis Winston pass complete short right to Alan Cross for 6 yards (tackle by Damarious Randall),9,16,0.000,2.720
3,3:20,1,10,CLE 43,Jameis Winston pass complete short left to Adam Humphries for 4 yards (tackle by Derrick Kindred),9,16,2.720,2.720
3,2:39,2,6,CLE 39,Ronald Jones left guard for 4 yards (tackle by T.J. Carrie),9,16,2.720,2.540
3,1:56,3,2,CLE 35,Jameis Winston middle for 9 yards (tackle by Briean Boddy-Calhoun),9,16,2.540,3.840
3,1:21,1,10,CLE 26,Jameis Winston pass incomplete short left intended for Adam Humphries (defended by Denzel Ward),9,16,3.840,3.300
,,,,,CLE challenged the incomplete pass ruling and the play was upheld.,,,,
3,1:18,2,10,CLE 26,Jameis Winston pass complete deep left to O.J. Howard for 24 yards (tackle by Jabrill Peppers),9,16,3.300,6.740
3,0:32,1,2,CLE 2,Ronald Jones left guard for 2 yards touchdown,9,22,6.740,7.000
3,0:28,,,CLE 15,Chandler Catanzaro kicks extra point good,9,23,0.000,0.000
3,0:28,,,TAM 35,Chandler Catanzaro kicks off 65 yards touchback,9,23,0.000,-0.610
3,0:28,1,10,CLE 25,Baker Mayfield pass complete short middle to Jarvis Landry for 6 yards (tackle by Jason Pierre-Paul and Lavonte David),9,23,0.610,0.870
4,15:00,2,4,CLE 31,Nick Chubb right tackle for 4 yards (tackle by Adarius Taylor),9,23,0.870,1.270
4,14:19,1,10,CLE 35,Nick Chubb middle for 21 yards (tackle by Isaiah Johnson),9,23,1.270,2.650
4,13:57,1,10,TAM 44,Nick Chubb right tackle for 1 yard (tackle by Lavonte David),9,23,2.650,2.250
4,13:20,2,9,TAM 43,Baker Mayfield pass incomplete deep right intended for Jarvis Landry,9,23,2.250,1.550
4,13:13,3,9,TAM 43,Baker Mayfield pass complete deep right to Jarvis Landry for 18 yards (tackle by Justin Evans and Adarius Taylor),9,23,1.550,3.910
4,12:30,1,10,TAM 25,Baker Mayfield pass incomplete deep middle intended for Antonio Callaway. Penalty on Carlton Davis: Defensive Pass Interference 24 yards (no play),9,23,3.910,6.970
4,12:25,1,1,TAM 1,Nick Chubb middle for 1 yard touchdown,15,23,6.970,7.000
4,12:17,,,TAM 15,Greg Joseph kicks extra point good,16,23,0.000,0.000
4,12:17,,,CLE 35,Greg Joseph kicks off 65 yards touchback,16,23,0.000,-0.610
4,12:17,1,10,TAM 25,Jameis Winston pass complete short left to Cameron Brate for 2 yards (tackle by Jabrill Peppers),16,23,0.610,0.330
4,11:40,2,8,TAM 27,Jameis Winston pass incomplete short left intended for Mike Evans (defended by Briean Boddy-Calhoun),16,23,0.330,-0.360
4,11:34,3,8,TAM 27,Jameis Winston middle for 11 yards (tackle by Briean Boddy-Calhoun),16,23,-0.360,1.470
4,10:52,1,10,TAM 38,Peyton Barber middle for 2 yards (tackle by Jabrill Peppers and Christian Kirksey),16,23,1.470,1.190
4,10:14,2,8,TAM 40,Jameis Winston pass incomplete short right intended for O.J. Howard,16,23,1.190,0.500
4,10:09,3,8,TAM 40,Jameis Winston pass complete short right to DeSean Jackson for no gain. Penalty on Myles Garrett: Defensive Offside 5 yards (no play),16,23,0.500,1.160
4,9:45,3,3,TAM 45,Jameis Winston pass incomplete short left intended for O.J. Howard,16,23,1.160,-0.390
4,9:41,4,3,TAM 45,Bryan Anger punts 55 yards touchback,16,23,-0.390,-0.280
4,9:32,1,10,CLE 20,Baker Mayfield pass complete deep middle to Jarvis Landry for 20 yards (tackle by Brent Grimes),16,23,0.280,1.600
4,9:00,1,10,CLE 40,Nick Chubb right end for 14 yards (tackle by Vita Vea). Penalty on Darren Fells: Offensive Holding 10 yards (no play),16,23,1.600,0.940
4,8:42,1,20,CLE 30,Baker Mayfield pass complete short left to Duke Johnson for 4 yards (tackle by Justin Evans). Penalty on Breshad Perriman: Illegal Block Above the Waist 10 yards,16,23,0.940,0.540
4,8:19,1,26,CLE 24,Baker Mayfield pass incomplete deep left intended for Antonio Callaway,16,23,0.540,-1.110
4,8:13,2,26,CLE 24,Baker Mayfield middle for 35 yards (tackle by Jordan Whitehead),16,23,-1.110,2.850
4,7:47,1,10,TAM 41,Nick Chubb middle for 12 yards (tackle by Carlton Davis),16,23,2.850,3.640
4,7:02,1,10,TAM 29,Baker Mayfield pass complete short middle to David Njoku for 23 yards (tackle by Jordan Whitehead and Justin Evans),16,23,3.640,5.830
4,6:31,1,6,TAM 6,Penalty on Kevin Zeitler: False Start 5 yards (no play),16,23,5.830,4.770
4,6:09,1,11,TAM 11,Baker Mayfield pass complete short middle to Jarvis Landry for 9 yards (tackle by Isaiah Johnson),16,23,4.770,5.720
4,5:31,2,2,TAM 2,Baker Mayfield pass incomplete,16,23,5.720,4.950
4,5:25,3,2,TAM 2,Nick Chubb right tackle for 1 yard (tackle by Adarius Taylor and Brent Grimes),16,23,4.950,3.550
4,5:02,4,1,TAM 1,Baker Mayfield middle for no gain (tackle by Devante Bond),16,23,3.550,0.380
4,4:55,1,10,TAM 1,Jameis Winston pass complete short left to Antony Auclair for 5 yards (tackle by Jabrill Peppers),16,23,-0.380,-0.420
4,4:15,2,5,TAM 6,Jacquizz Rodgers right guard for 3 yards (tackle by Genard Avery and Jabrill Peppers),16,23,-0.420,-0.480
4,3:30,3,2,TAM 9,Jameis Winston sacked by Emmanuel Ogbah for -4 yards,16,23,-0.480,-2.490
4,2:50,4,6,TAM 5,Bryan Anger punts 43 yards returned by Jabrill Peppers for 32 yards (tackle by Devante Bond),16,23,-2.490,-4.510
4,2:36,1,10,TAM 16,Baker Mayfield pass complete short middle to Jarvis Landry for 16 yards touchdown,22,23,4.510,7.000
4,2:28,,,TAM 15,Greg Joseph kicks extra point good,23,23,0.000,0.000
4,2:28,,,CLE 35,Greg Joseph kicks off 65 yards touchback,23,23,0.000,-0.610
4,2:28,1,10,TAM 25,Jameis Winston pass complete short right to Mike Evans for 10 yards (tackle by Damarious Randall),23,23,0.610,1.270
4,2:23,1,10,TAM 35,Jameis Winston right end for 6 yards (tackle by Emmanuel Ogbah),23,23,1.270,1.530
4,2:00,2,4,TAM 41,Jameis Winston pass complete short left to Adam Humphries for 7 yards (tackle by Damarious Randall and Briean Boddy-Calhoun). Penalty on Donovan Smith: Offensive Holding 10 yards (no play),23,23,1.530,0.180
4,1:48,2,14,TAM 31,Jameis Winston pass complete short left to Mike Evans for 21 yards (tackle by Damarious Randall),23,23,0.180,2.390
4,1:19,1,10,CLE 48,Jameis Winston pass complete short right to O.J. Howard for 7 yards (tackle by Denzel Ward),23,23,2.390,2.790
4,0:59,2,3,CLE 41,Jameis Winston middle for 1 yard (tackle by Emmanuel Ogbah). Penalty on Genard Avery: Defensive Holding 5 yards,23,23,2.790,3.250
4,0:51,1,10,CLE 35,Jameis Winston pass complete short middle to Cameron Brate for 11 yards (tackle by Jabrill Peppers),23,23,3.250,3.970
4,0:45,,,,Timeout #2 by Cleveland Browns,23,23,,
4,0:45,1,10,CLE 24,Jacquizz Rodgers middle for 3 yards (tackle by Larry Ogunjobi),23,23,3.970,3.840
4,0:09,2,7,CLE 21,Jameis Winston right end for -1 yards,23,23,3.840,3.010
4,0:04,,,,Timeout #1 by Tampa Bay Buccaneers,23,23,,
4,0:04,,,,Timeout #3 by Cleveland Browns,23,23,,
4,0:04,3,8,CLE 22,Chandler Catanzaro 40 yard field goal no good,23,23,3.010,-0.870
OT,10:00,,,TAM 35,Chandler Catanzaro kicks off 65 yards touchback,23,23,0.000,-0.610
OT,10:00,1,10,CLE 25,Baker Mayfield pass incomplete. Penalty on Desmond Harrison: Offensive Holding 10 yards (no play),23,23,0.610,-0.410
OT,9:55,1,20,CLE 15,Nick Chubb middle for 5 yards (tackle by Beau Allen),23,23,-0.410,-0.610
OT,9:17,2,15,CLE 20,Baker Mayfield pass complete short left to Damion Ratley for 9 yards (tackle by M.J. Stewart),23,23,-0.610,-0.100
OT,8:55,3,6,CLE 29,Baker Mayfield pass incomplete short right intended for David Njoku (defended by Carlton Davis),23,23,-0.100,-1.440
OT,8:51,4,6,CLE 29,Britton Colquitt punts 54 yards returned by Adam Humphries for -6 yards (tackle by Tanner Vallejo),23,23,-1.440,0.370
OT,8:38,1,10,TAM 11,Jameis Winston for no gain. Jameis Winston fumbles recovered by Jameis Winston at TAM-10,23,23,-0.370,-0.850
OT,8:01,2,11,TAM 10,Jameis Winston pass complete short left to Chris Godwin for 23 yards (tackle by Jabrill Peppers),23,23,-0.850,1.140
OT,7:28,1,10,TAM 33,Jameis Winston pass complete short right to DeSean Jackson for 11 yards (tackle by Briean Boddy-Calhoun),23,23,1.140,1.860
OT,6:45,1,10,TAM 44,DeSean Jackson left end for -6 yards (tackle by Jamie Collins). Penalty on DeSean Jackson: Illegal Shift (Declined),23,23,1.860,0.510
OT,6:22,2,16,TAM 38,Jameis Winston pass incomplete short middle intended for Chris Godwin is intercepted by Jamie Collins at TAM-45,23,23,0.510,-2.590
