Quarter,Time,Down,ToGo,Location,Detail,NYJ,MIA,EPB,EPA
3,9:36,3,1,MIA 17,Brock Osweiler pass complete short left to Kenny Stills for 19 yards (tackle by Marcus Maye),3,6,-0.370,1.330
3,9:00,1,10,MIA 36,Brock Osweiler pass complete short left to Kalen Ballage for 8 yards (tackle by Jamal Adams),3,6,1.330,1.870
3,8:22,2,2,MIA 44,Frank Gore middle for 1 yard (tackle by Jamal Adams and Avery Williamson),3,6,1.870,1.290
3,7:43,3,1,MIA 45,Brock Osweiler sacked by Jordan Jenkins for -10 yards,3,6,1.290,-1.040
3,6:54,4,11,MIA 35,Penalty on MIA: Delay of Game 5 yards (no play),3,6,-1.040,-1.370
3,6:42,4,16,MIA 30,Matt Haack punts 58 yards returned by Andre Roberts for 8 yards (tackle by Kalen Ballage),3,6,-1.370,-0.280
3,6:30,1,10,NYJ 20,Sam Darnold pass incomplete deep left intended for Jermaine Kearse,3,6,0.280,-0.270
3,6:23,2,10,NYJ 20,Isaiah Crowell left guard for 1 yard (tackle by T.J. McDonald),3,6,-0.270,-0.820
3,5:38,3,9,NYJ 21,Sam Darnold pass incomplete,3,6,-0.820,-1.960
3,5:29,4,9,NYJ 21,Lac Edwards punts 44 yards returned by Jakeem Grant for 6 yards (tackle by Charone Peake),3,6,-1.960,-1.660
3,5:19,1,10,MIA 41,Frank Gore left tackle for no gain (tackle by Morris Claiborne and Nathan Shepherd),3,6,1.660,1.120
3,4:47,2,10,MIA 41,Frank Gore middle for 1 yard (tackle by Leonard Williams),3,6,1.120,0.560
3,4:11,3,9,MIA 42,Brock Osweiler sacked by Jeremiah Attaochu for -8 yards,3,6,0.560,-1.110
3,3:32,4,17,MIA 34,Matt Haack punts 57 yards returned by Andre Roberts for 9 yards (tackle by Senorise Perry),3,6,-1.110,-0.040
3,3:19,1,10,NYJ 18,Isaiah Crowell right tackle for 12 yards (tackle by Kiko Alonso and Xavien Howard),3,6,0.040,0.940
3,2:33,1,10,NYJ 30,Isaiah Crowell middle for 2 yards (tackle by Jerome Baker),3,6,0.940,0.660
3,1:52,2,8,NYJ 32,Sam Darnold pass incomplete short left intended for Elijah McGuire,3,6,0.660,-0.030
3,1:48,3,8,NYJ 32,Sam Darnold sacked by Bobby McCain and Andre Branch for 0 yards. Penalty on Andre Branch: Face Mask (15 Yards) 15 yards (no play),3,6,-0.030,2.060
3,1:24,1,10,NYJ 47,Sam Darnold pass complete short right to Elijah McGuire for 2 yards (tackle by Raekwon McMillan). Penalty on Raekwon McMillan: Face Mask (15 Yards) 15 yards,3,6,2.060,3.180
3,0:59,1,10,MIA 36,Elijah McGuire left end for -5 yards (tackle by Andre Branch),3,6,3.180,1.960
3,0:14,2,15,MIA 41,Sam Darnold pass complete short left to Isaiah Crowell for 11 yards (tackle by Torry McTyer),3,6,1.960,2.740
4,15:00,3,4,MIA 30,Elijah McGuire middle for 7 yards (tackle by Kiko Alonso),3,6,2.740,4.040
4,14:22,1,10,MIA 23,Elijah McGuire right guard for 3 yards (tackle by Robert Quinn),3,6,4.040,3.900
4,13:44,2,7,MIA 20,Sam Darnold sacked by Cameron Wake for -7 yards,3,6,3.900,2.280
4,12:58,3,14,MIA 27,Penalty on NYJ: Delay of Game 5 yards (no play),3,6,2.280,1.620
4,12:45,3,19,MIA 32,Sam Darnold pass incomplete short left intended for Jermaine Kearse,3,6,1.620,1.240
4,12:45,4,19,MIA 32,Jason Myers 50 yard field goal no good,3,6,1.240,-1.600
4,12:37,1,10,MIA 40,Brock Osweiler pass incomplete,3,6,1.600,1.050
4,12:30,2,10,MIA 40,Frank Gore left end for 5 yards (tackle by Brandon Copeland),3,6,1.050,1.030
4,11:51,3,5,MIA 45,Brock Osweiler pass incomplete deep left intended for Mike Gesicki,3,6,1.030,-0.390
4,11:45,4,5,MIA 45,Matt Haack punts 40 yards fair catch by Andre Roberts,3,6,-0.390,0.220
4,11:37,1,10,NYJ 15,Isaiah Crowell left guard for 1 yard (tackle by T.J. McDonald and Akeem Spence),3,6,-0.220,-0.580
4,10:56,2,9,NYJ 16,Sam Darnold pass incomplete short right intended for Eric Tomlinson is intercepted by Jerome Baker at NYJ-25 and returned for 25 yards touchdown,3,12,-0.580,-7.000
4,,,,,Jason Sanders kicks extra point good,3,13,0.000,0.000
4,10:48,,,MIA 35,Jason Sanders kicks off 65 yards touchback,3,13,0.000,-0.610
4,10:48,1,10,NYJ 25,Sam Darnold pass complete short middle to Jermaine Kearse for 9 yards (tackle by Minkah Fitzpatrick),3,13,0.610,1.280
4,10:12,2,1,NYJ 34,Elijah McGuire middle for 7 yards (tackle by Cornell Armstrong),3,13,1.280,1.660
4,9:36,1,10,NYJ 41,Sam Darnold pass incomplete short right intended for Elijah McGuire (defended by T.J. McDonald),3,13,1.660,1.120
4,9:30,2,10,NYJ 41,Sam Darnold pass complete short left to Robby Anderson for 8 yards (tackle by Xavien Howard),3,13,1.120,1.490
4,8:52,3,2,NYJ 49,Sam Darnold pass complete short right to Quincy Enunwa for 9 yards (tackle by Cornell Armstrong),3,13,1.490,2.790
4,8:16,1,10,MIA 42,Sam Darnold for no gain. Spencer Long fumbles. Penalty on Kelvin Beachum: Offensive Holding 10 yards (no play),3,13,2.790,2.130
4,8:10,1,20,NYJ 48,Sam Darnold pass complete short middle to Robby Anderson for 4 yards (tackle by T.J. McDonald),3,13,2.130,1.430
4,7:38,2,16,MIA 48,Sam Darnold sacked by Akeem Spence for -5 yards,3,13,1.430,0.100
4,6:52,3,21,NYJ 47,Sam Darnold pass complete short left to Trenton Cannon for 15 yards (tackle by Kiko Alonso and Jerome Baker),3,13,0.100,0.720
4,6:03,4,6,MIA 38,Jason Myers 56 yard field goal good,6,13,0.720,3.000
4,5:57,,,NYJ 35,Jason Myers kicks off 65 yards touchback,6,13,0.000,-0.610
4,5:57,1,10,MIA 25,Brock Osweiler pass complete short right to Danny Amendola for 9 yards (tackle by Buster Skrine),6,13,0.610,1.280
4,5:11,2,1,MIA 34,Brock Osweiler pass incomplete short right intended for Kenyan Drake (defended by Jamal Adams),6,13,1.280,0.560
4,5:07,3,1,MIA 34,Frank Gore left guard for no gain (tackle by Mike Pennel),6,13,0.560,-1.110
4,4:26,4,1,MIA 34,Matt Haack punts 48 yards fair catch by Andre Roberts,6,13,-1.110,-0.040
4,4:21,1,10,NYJ 18,Sam Darnold pass complete short right to Jordan Leggett for 6 yards (tackle by Torry McTyer and Bobby McCain),6,13,0.040,0.410
4,3:48,2,4,NYJ 24,Sam Darnold pass complete short left to Quincy Enunwa for 23 yards (tackle by Minkah Fitzpatrick and Evander Hood),6,13,0.410,2.060
4,3:16,1,10,NYJ 47,Sam Darnold pass incomplete short middle intended for Jermaine Kearse (defended by Kiko Alonso),6,13,2.060,1.520
4,3:12,2,10,NYJ 47,Sam Darnold pass incomplete deep left intended for Robby Anderson,6,13,1.520,0.830
4,3:07,3,10,NYJ 47,Sam Darnold sacked by Akeem Spence for -5 yards,6,13,0.830,-0.590
4,2:22,4,15,NYJ 42,Sam Darnold pass incomplete deep right intended for Quincy Enunwa is intercepted by T.J. McDonald at MIA-40 and returned for 10 yards,6,13,-0.590,-2.260
4,2:15,1,10,50,Frank Gore middle for -2 yards (tackle by Darron Lee),6,13,2.260,1.440
4,2:11,,,,Timeout #2 by New York Jets,6,13,,
4,2:11,2,12,MIA 48,Frank Gore right guard for 1 yard (tackle by Steve McLendon),6,13,1.440,0.890
4,2:00,3,11,MIA 49,Brock Osweiler pass complete short right to Danny Amendola for 2 yards (tackle by Jamal Adams),6,13,0.890,0.000
4,1:56,,,,Timeout #3 by New York Jets,6,13,,
4,1:56,4,9,NYJ 49,Matt Haack punts 38 yards,6,13,0.000,0.370
4,1:46,1,10,NYJ 11,Sam Darnold pass complete deep middle to Christopher Herndon for 21 yards (tackle by Minkah Fitzpatrick and Kiko Alonso),6,13,-0.370,1.070
4,1:21,1,10,NYJ 32,Sam Darnold pass complete short left to Elijah McGuire for 15 yards (tackle by T.J. McDonald),6,13,1.070,2.060
4,0:56,1,10,NYJ 47,Sam Darnold pass incomplete,6,13,2.060,1.520
4,0:50,2,10,NYJ 47,Sam Darnold pass incomplete short left intended for Jermaine Kearse,6,13,1.520,0.830
4,0:46,3,10,NYJ 47,Sam Darnold pass incomplete deep left intended for Robby Anderson (defended by Xavien Howard),6,13,0.830,-0.260
4,0:41,4,10,NYJ 47,Sam Darnold pass incomplete deep right intended for Jermaine Kearse is intercepted by Walt Aikens at MIA-19,6,13,-0.260,-0.150
4,0:33,1,10,MIA 19,Brock Osweiler kneels for -1 yards,6,13,0.150,-0.560
