Quarter,Time,Down,ToGo,Location,Detail,NYJ,CLE,EPB,EPA
2,1:42,1,10,CLE 34,Baker Mayfield pass complete short middle to Jarvis Landry for 14 yards (tackle by Doug Middleton),14,0,1.200,2.130
2,1:20,1,10,CLE 48,Baker Mayfield pass complete deep middle to David Njoku for 17 yards (tackle by Doug Middleton),14,0,2.130,3.250
2,0:59,1,10,NYJ 35,Baker Mayfield sacked by Jordan Jenkins for -8 yards. Baker Mayfield fumbles (forced by Jordan Jenkins) recovered by Joel Bitonio at NYJ-43,14,0,3.250,1.620
2,0:49,,,,Timeout #3 by Cleveland Browns,14,0,,
2,0:49,2,18,NYJ 43,Baker Mayfield pass complete short middle to Jarvis Landry for 16 yards (tackle by Parry Nickerson and Brandon Copeland),14,0,1.620,3.070
2,0:33,3,2,NYJ 27,Baker Mayfield pass incomplete short left intended for Antonio Callaway (defended by Morris Claiborne),14,0,3.070,1.800
2,0:27,4,2,NYJ 27,Greg Joseph 45 yard field goal good,14,3,1.800,3.000
2,0:23,,,CLE 35,Greg Joseph kicks off 64 yards out of bounds,14,3,0.000,-1.600
2,0:23,1,10,NYJ 40,Sam Darnold pass incomplete short left intended for Quincy Enunwa,14,3,1.600,1.050
2,0:18,2,10,NYJ 40,Sam Darnold pass complete short right to Christopher Herndon for 7 yards (tackle by Jamie Collins),14,3,1.050,1.290
2,0:14,3,3,NYJ 47,Sam Darnold pass incomplete short left intended for Terrelle Pryor,14,3,1.290,-0.260
2,0:10,4,3,NYJ 47,Lac Edwards punts 34 yards out of bounds,14,3,-0.260,-0.150
2,0:05,1,10,CLE 19,Baker Mayfield kneels for -1 yards,14,3,0.150,-0.560
3,15:00,,,CLE 35,Greg Joseph kicks off 65 yards touchback,14,3,0.000,-0.610
3,15:00,1,10,NYJ 25,Sam Darnold pass complete short right to Isaiah Crowell for 7 yards (tackle by Jabrill Peppers),14,3,0.610,1.010
3,14:29,2,3,NYJ 32,Isaiah Crowell left guard for -3 yards (tackle by Larry Ogunjobi),14,3,1.010,-0.100
3,13:45,3,6,NYJ 29,Sam Darnold pass complete short right to Isaiah Crowell for 10 yards (tackle by Jamie Collins),14,3,-0.100,1.530
3,13:03,1,10,NYJ 39,Bilal Powell right end for -1 yards (tackle by Joe Schobert and James Burgess),14,3,1.530,0.850
3,12:44,2,11,NYJ 38,Sam Darnold pass incomplete short left intended for Robby Anderson,14,3,0.850,0.170
3,12:38,3,11,NYJ 38,Sam Darnold pass incomplete short right intended for Jermaine Kearse,14,3,0.170,-0.850
3,12:35,4,11,NYJ 38,Lac Edwards punts 54 yards returned by Jarvis Landry for 17 yards (tackle by Thomas Hennessy). Penalty on Denzel Rice: Illegal Block Above the Waist 5 yards,14,3,-0.850,0.380
3,12:25,1,10,CLE 5,Carlos Hyde right guard for 9 yards (tackle by Darryl Roberts and Jamal Adams),14,3,-0.380,-0.100
3,11:49,2,1,CLE 14,Carlos Hyde right tackle for 2 yards (tackle by Darryl Roberts),14,3,-0.100,-0.140
3,11:17,1,10,CLE 16,Baker Mayfield pass complete short middle to David Njoku for 19 yards (tackle by Jamal Adams and Avery Williamson),14,3,-0.140,1.270
3,10:39,1,10,CLE 35,Carlos Hyde left guard for no gain (tackle by Morris Claiborne),14,3,1.270,0.720
